Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Aeromicrobium	0.4	0.75	0.87	0.55	0.51	0.45	0.18	0.34	0.31	0.38	0.39	0.37	0.34	0.26	0.42	0.45	0.28	0.41	0.6
Pseudomonas	0.37	0.28	0.22	0.29	1.08	0.33	0.85	2.32	0.37	2.31	1.26	2	0.15	0.18	0.43	0.21	1.05	0.59	0.6
Chryseolinea	0.19	0.04	0.02	0.1	0.02	0.01	0.58	0.38	0.28	0.3	0.28	0.21	0.21	0.24	0.4	0.41	0.17	0.3	0.5
Kofleria	0.06	0.09	0.04	0.1	0.02	0.1	0.22	0.19	0.21	0.16	0.2	0.11	0.24	0.13	0.18	0.12	0.11	0.1	0.5
Rhizobium	0.2	0.25	0.56	0.39	0.36	0.28	0.23	0.41	0.11	0.38	0.39	0.34	0.18	0.23	0.31	0.25	0.38	0.33	0.5
Bosea	0.38	0.38	0.9	1.27	0.79	0.49	0.41	0.53	0.22	0.27	0.48	0.3	0.45	0.3	0.33	0.55	0.79	0.51	0.5
Duganella	0.35	0.16	0.15	0.25	0.22	0.28	0.2	0.14	0.42	0.17	0.21	0.11	0.52	0.14	0.31	0.14	0.59	0.06	0.5
Variovorax	1.02	0.92	0.83	0.89	1.19	1.44	0.94	0.69	0.82	0.81	0.98	1.05	0.71	0.75	0.93	1.2	1.11	0.95	0.4
Dactylosporangium	0.32	0.64	0.22	0.27	0.12	0.28	0.57	0.6	0.31	0.36	0.36	0.53	0.46	0.19	0.47	0.35	0.33	0.57	0.4
Pelobacter	0.18	0.15	0.08	0.11	0.06	0.06	0.21	0.17	0.11	0.11	0.22	0.26	0.13	0.17	0.2	0.19	0.15	0.23	0.4
Labilithrix	0.1	0.18	0.1	0.1	0.05	0.05	0.15	0.06	0.14	0.07	0.11	0.16	0.09	0.1	0.14	0.09	0.1	0.14	0.4
Methyloceanibacter	0.21	0.18	0.1	0.24	0.12	0.19	0.24	0.2	0.12	0.19	0.17	0.33	0.22	0.19	0.21	0.12	0.17	0.14	0.4
Turneriella	0.05	0.02	0.1	0.08	0.12	0.08	0.09	0.11	0.09	0.18	0.17	0.08	0.11	0.16	0.13	0.15	0.06	0.12	0.4
Altererythrobacter	0.14	0.14	0.11	0.09	0.14	0.19	0.1	0.23	0.08	0.05	0.18	0.16	0.07	0.08	0.11	0.11	0.08	0.15	0.4
Bradyrhizobium	1.98	2.66	2.2	1.85	1.96	2.37	2.9	1.97	1.64	1.63	2.24	2.37	1.87	1.6	2.13	2.2	1.92	2.35	0.4
Phenylobacterium	0.85	0.73	0.91	0.57	0.88	1.03	0.7	0.48	0.29	0.56	0.79	0.68	0.63	0.78	0.55	0.67	0.57	0.71	0.4
Brevundimonas	0.19	0.12	0.23	0.28	0.37	0.11	0.11	0.21	0.02	0.09	0.1	0.08	0.07	0.07	0.12	0.12	0.14	0.1	0.4
Chloroflexus	0.2	0.37	0.07	0.12	0.21	0.12	0.19	0.4	0.29	0.24	0.14	0.26	0.39	0.21	0.28	0.23	0.13	0.2	0.4
Acidovorax	0.82	0.69	1.12	1.1	1.66	1.01	0.72	1.75	2.09	1.21	1.75	0.85	1.26	1.12	1.56	1.07	1.82	1.87	0.4
Microvirga	0.37	0.47	0.42	0.54	0.3	0.48	0.56	0.34	0.3	0.38	0.3	0.59	0.2	0.15	0.41	0.43	0.16	0.37	0.4
Kaistia	0.37	0.3	0.34	0.24	0.3	0.33	0.5	0.29	0.32	0.19	0.4	0.29	0.19	0.23	0.52	0.12	0.18	0.29	0.4
Subdivision3_genera_incertae_sedis	0.09	0.04	0.05	0.04	0.02	0.04	0.07	0.05	0.1	0.09	0.06	0.06	0.07	0.02	0.1	0.05	0.03	0.04	0.4
Pseudoduganella	1.68	0.82	0.87	2.69	1.86	2.9	0.54	0.38	2.21	1.38	0.97	1.14	2.18	3.86	1.03	1.49	1.39	1.15	0.4
Noviherbaspirillum	1.55	1.78	1.3	1.49	3.1	1.64	3.14	2.34	1.26	2.45	1.57	1	2.45	2.45	2.48	2.11	1.4	2.58	0.4
Thermasporomyces	0.07	0.03	0	0.04	0.02	0.04	0.17	0.17	0.14	0.16	0.13	0.16	0.16	0.05	0.08	0.08	0.09	0.11	0.4
Paraburkholderia	0.03	0.06	0.14	0.14	0.05	0.08	0.1	0.08	0.09	0.06	0.08	0.1	0.05	0.11	0.08	0.06	0.06	0.06	0.4
Caulobacter	0.24	0.16	0.12	0.18	0.08	0.27	0.18	0.33	0.18	0.16	0.29	0.2	0.2	0.14	0.11	0.2	0.11	0.22	0.4
Novosphingobium	0.08	0.04	0.12	0.11	0.04	0.14	0.07	0.13	0.03	0.06	0.09	0.07	0.03	0.03	0.07	0.04	0.02	0.08	0.4
Kineosporia	0.43	0.93	0.42	0.81	0.16	0.3	0.86	0.52	0.6	0.85	0.69	0.55	1.16	1.17	0.86	0.87	0.98	0.55	0.4
Promicromonospora	0.21	0.32	0.13	0.24	0.1	0.4	0.26	0.18	0.17	0.15	0.49	0.32	0.1	0.2	0.19	0.16	0.11	0.19	0.4
Afifella	0.19	0.25	0.11	0.18	0.06	0.17	0.21	0.18	0.09	0.16	0.17	0.23	0.21	0.09	0.13	0.14	0.11	0.14	0.3
Povalibacter	0.15	0.15	0.1	0.17	0.09	0.18	0.24	0.21	0.14	0.13	0.17	0.26	0.13	0.12	0.2	0.11	0.24	0.22	0.3
Aquihabitans	0.05	0.2	0.08	0.08	0.07	0.04	0.09	0.13	0.13	0.15	0.13	0.2	0.12	0.13	0.15	0.03	0.12	0.14	0.3
Reyranella	0.17	0.23	0.23	0.1	0.04	0.25	0.28	0.14	0.21	0.16	0.15	0.23	0.16	0.09	0.14	0.26	0.11	0.13	0.3
Sulfuriferula	0.13	0.09	0.29	0.07	0.03	0.05	0.1	0.11	0.08	0.04	0.07	0.2	0.12	0.04	0.1	0.09	0.06	0.13	0.3
Pseudorhodoplanes	0.27	0.25	0.32	0.32	0.05	0.26	0.3	0.12	0.12	0.1	0.22	0.19	0.04	0.1	0.18	0.3	0.15	0.2	0.3
Cupriavidus	0.02	0	0	0.1	0.02	0.22	0.08	0.05	0.05	0.06	0.06	0.1	0.01	0	0.02	0.09	0.05	0.08	0.3
Rhizocola	0.26	0.14	0.02	0.09	0.01	0.07	0.1	0.13	0.07	0.02	0.12	0.15	0.06	0.13	0.19	0.05	0.07	0.05	0.3
Sorangium	0.28	0.1	0.07	0.24	0.12	0.13	0.38	0.11	0.29	0.21	0.17	0.23	0.16	0.17	0.12	0.14	0.22	0.13	0.3
Neorhizobium	0.37	0.03	0.26	0.06	0.08	0.05	0.06	0.04	0.09	0.06	0.1	0.2	0.03	0.04	0.09	0.11	0.05	0.02	0.3
Aciditerrimonas	0.01	0.09	0.03	0.02	0.06	0.11	0.1	0.08	0.1	0.05	0.1	0.06	0.07	0.08	0.08	0.07	0.03	0.04	0.3
Peredibacter	0.07	0.14	0.27	0.18	0.53	0.22	0.14	0.2	0.1	0.34	0.22	0.08	0.2	0.56	0.13	0.15	0.29	0.07	0.3
Byssovorax	0.67	0.25	0.24	0.41	0.07	0.16	0.36	0.39	0.61	0.46	0.29	0.2	0.11	0.17	0.09	0.36	0.06	0.12	0.3
Geobacter	0.02	0.05	0.03	0	0.01	0.08	0.12	0.1	0.12	0.09	0.13	0.11	0.09	0.12	0.11	0.03	0.08	0.12	0.3
Conexibacter	0.23	0.21	0.07	0.11	0.09	0.4	0.41	0.21	0.16	0.16	0.23	0.34	0.1	0.09	0.1	0.12	0.17	0.16	0.3
Ensifer	0.51	0.36	0.77	0.65	0.95	0.61	0.38	0.44	0.43	0.58	0.61	0.65	0.34	0.59	0.35	0.41	0.46	0.49	0.3
Nannocystis	0.06	0.04	0.03	0.04	0.02	0.08	0.07	0.03	0.05	0.04	0.04	0.09	0.1	0.08	0.09	0.05	0.09	0.06	0.3
Kallotenue	0.3	0.26	0.03	0.09	0.05	0.08	0.16	0.12	0.18	0.2	0.14	0.15	0.17	0.06	0.2	0.09	0.04	0.15	0.2
Iamia	0.04	0.13	0.17	0.08	0.13	0.11	0.14	0.12	0.09	0.15	0.07	0.07	0.11	0.19	0.15	0.2	0.14	0.06	0.2
Ilumatobacter	0.14	0.11	0.09	0.09	0.05	0.09	0.31	0.08	0.11	0.12	0.21	0.25	0.11	0.14	0.12	0.13	0.06	0.04	0.2
Hyphomonas	0.1	0.11	0.04	0.04	0.09	0.08	0.18	0.06	0.06	0.09	0.15	0.12	0.09	0.07	0.11	0.15	0.08	0.16	0.2
Virgisporangium	0.16	0.08	0.3	0.11	0.16	0.09	0.15	0.22	0.23	0.17	0.07	0.23	0.16	0.05	0.12	0.07	0.04	0.2	0.2
Paraherbaspirillum	0.18	0.04	0.04	0.1	0.29	0.11	0.01	0.01	0.03	0.03	0.01	0.05	0.05	0.06	0.05	0.06	0.1	0.06	0.2
Shinella	0.44	0.33	0.96	0.6	1.07	0.65	0.53	0.82	0.25	0.57	0.72	0.31	0.45	0.72	0.29	0.58	0.97	0.68	0.2
Spartobacteria_genera_incertae_sedis	0.03	0	0.02	0	0.02	0.02	0.13	0.05	0.07	0.02	0.03	0.07	0.05	0.03	0.03	0.07	0.01	0.03	0.2
Saccharothrix	0.21	0.35	0.09	0.02	0.01	0.09	0.08	0.34	0.08	0.06	0.05	0.12	0.1	0.07	0.11	0.06	0.02	0.04	0.2
Polyangium	0.17	0.15	0.04	0.13	0.11	0.18	0.3	0.14	0.09	0.11	0.13	0.2	0.08	0.04	0.18	0.13	0.06	0.13	0.2
Roseateles	0.18	0.28	0.19	0.3	0.42	0.12	0.38	0.21	0.32	0.24	0.51	0.25	0.46	0.21	0.58	0.25	0.42	0.42	0.2
Permianibacter	0.22	0.08	0.15	0.17	0.41	0.14	0.15	0.12	0.24	0.29	0.18	0.18	0.33	0.25	0.19	0.17	0.24	0.21	0.2
Nitrospira	0.05	0.06	0.03	0.06	0.03	0.06	0.1	0.06	0.09	0.07	0.11	0.13	0.07	0.07	0.08	0.34	0.12	0.15	0.2
Methylotenera	0.04	0.12	0.01	0.04	0.15	0.34	0.06	0.21	0.03	0.04	0.05	0.03	0.02	0.15	0.14	0.1	0.01	0.05	0.2
Lacipirellula	0	0.07	0.01	0.01	0	0.01	0.18	0.35	0.12	0.05	0.08	0.13	0.06	0.08	0.07	0.07	0.03	0.02	0.2
Kinneretia	0.59	0.43	1.14	0.82	1.2	0.6	0.36	0.22	0.46	0.37	0.37	0.16	0.45	0.68	0.3	0.22	0.52	0.39	0.2
Microbacterium	0.25	0.03	0.02	0.06	0.03	0.04	0.12	0.01	0.03	0.08	0.07	0.17	0.04	0.03	0.07	0.08	0.07	0.11	0.2
Niastella	0.13	0.07	0.07	0.07	0.02	0.06	0.5	0.29	0.45	0.45	0.29	0.21	0.32	0.51	0.35	0.37	0.26	0.13	0.2
Neobacillus	0.12	0.05	0.05	0.05	0.01	0.05	0.12	0.09	0.1	0.04	0.07	0.21	0.06	0.06	0.06	0.08	0.02	0.09	0.2
Sporichthya	0.43	0.48	0.5	0.35	0.15	0.36	0.31	0.33	0.53	0.32	0.38	0.21	0.65	0.38	0.39	0.33	0.67	0.68	0.2
Cellvibrio	0.12	0.03	0.05	0.04	0.03	0.02	0.09	0.3	0.65	0.39	0.04	0.04	0.3	0.1	0.08	0.04	0.04	0.09	0.2
Corallococcus	0.06	0.1	0.03	0.05	0.04	0.05	0.09	0.16	0.08	0.04	0.11	0.17	0.03	0.07	0.08	0.01	0.02	0.1	0.2
Actinophytocola	0.08	0.05	0	0	0	0.27	0.1	0.04	0.04	0.03	0.05	0.25	0.02	0	0.03	0.22	0.02	0.41	0.2
Chryseobacterium	0.02	0.03	0.02	0.02	0.04	0.03	0.02	0.12	0.06	0.07	0.04	0.02	0.02	0.01	0.06	0.29	0.03	0.02	0.2
Actinocrispum	1.09	1.34	3.53	1.62	0.17	0.46	1.93	1.63	1.36	1.18	1.31	1.03	1.91	0.77	1.52	1.36	0.84	3.25	0.2
Arthrobacter	0.12	0.13	0.1	0.05	0.04	0.08	0.12	0.34	0.13	0.15	0.25	0.19	0.1	0.09	0.14	0.25	0.09	0.14	0.2
Amycolatopsis	0.97	3.05	1.5	1.15	1.14	1.47	0.61	0.99	0.38	1.07	0.91	0.63	1.41	1.58	0.92	1.9	5.2	0.82	0.2
Gemmatirosa	0.06	0.04	0.06	0.03	0.02	0.01	0.11	0.08	0.1	0.07	0.06	0.08	0.04	0.09	0.04	0.04	0.05	0.08	0.2
Allosphingosinicella	0.08	0.16	0.06	0.15	0.11	0.15	0.16	0.06	0.04	0.06	0.04	0.1	0.05	0.07	0.02	0.02	0.11	0.07	0.2
Aquincola	0.04	0.02	0.08	0.05	0.08	0.04	0.08	0.08	0.05	0.08	0.1	0.04	0.03	0.03	0.14	0.07	0.08	0.06	0.2
Ferrovibrio	0.07	0.08	0.04	0.04	0.07	0.08	0.06	0.07	0.05	0.05	0.08	0.09	0.14	0.09	0.07	0.26	0.1	0.13	0.2
Chelatococcus	0.13	0.18	0.57	0.1	0.18	0.13	0.09	0.16	0.07	0.15	0.08	0.09	0.05	0.13	0.09	0.09	0.04	0.1	0.1
Rhodomicrobium	0.04	0.2	0.11	0.04	0.05	0.06	0.27	0.15	0.23	0.07	0.12	0.1	0.07	0.09	0.14	0.19	0.08	0.09	0.1
Chiayiivirga	0.02	0.04	0.02	0.05	0.03	0	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.05	0.02	0.05	0.1
Aquidulcibacter	0.18	0.09	0.14	0.09	0.07	0.1	0.22	0.16	0.14	0.16	0.14	0.17	0.05	0.18	0.18	0.12	0.04	0.21	0.1
Methylosinus	0.05	0.03	0.07	0.01	0.01	0.06	0.06	0.03	0.02	0.03	0.02	0.04	0.03	0.01	0.04	0	0.03	0.06	0.1
Marmoricola	0.07	0.09	0.1	0.1	0.08	0.03	0.06	0.15	0.04	0.06	0.09	0.02	0.04	0.01	0.04	0.13	0.06	0.06	0.1
Sphingopyxis	0.27	0.28	0.87	0.45	1.03	0.54	0.3	0.43	0.14	0.44	0.65	0.32	0.3	0.18	0.27	0.36	0.83	0.34	0.1
Couchioplanes	0.45	0.41	0.04	0.1	0.03	0.18	0.26	0.51	0.14	0.11	0.17	0.27	0.34	0.38	0.36	0.19	0.47	0.19	0.1
Chthonobacter	0.07	0.04	0.06	0.07	0.18	0.07	0.05	0.05	0.07	0.05	0.05	0.04	0.07	0.11	0.17	0.02	0.09	0.07	0.1
Rubrobacter	0.02	0.13	0.04	0.05	0	0.04	0.13	0.09	0.04	0.06	0.03	0.14	0.07	0.05	0.07	0.07	0.12	0.04	0.1
Sandaracinus	0.23	0.18	0.31	0.22	0.36	0.13	0.15	0.14	0.15	0.13	0.24	0.16	0.16	0.22	0.19	0.26	0.24	0.21	0.1
Phyllobacterium	0.27	0.3	0.06	0.25	0.33	0.47	0.1	0.08	0.21	0.09	0.15	0.19	0.26	0.36	0.15	0.1	0.16	0.13	0.1
Pirellula	0.02	0	0.01	0	0	0.03	0.03	0.03	0.03	0.03	0.06	0.05	0.03	0	0.01	0.02	0.02	0	0.1
Catenuloplanes	0.06	0.29	0.03	0.07	0.04	0.03	0.05	0.16	0.13	0.12	0.07	0.07	0.06	0.09	0.13	0.1	0.03	0.03	0.1
Bythopirellula	0	0.07	0.02	0.01	0	0	0.05	0.1	0.07	0.02	0.04	0.07	0.06	0.03	0.04	0.02	0.05	0.02	0.1
Brevibacillus	0.02	0.01	0.49	0.01	0	0	0	0.03	0.01	0	0.03	0.01	0	0	0.01	0	0	0	0.1
Polaromonas	0.59	0.31	0.37	0.42	0.39	0.48	0.24	0.3	0.37	0.38	0.45	0.54	0.31	0.52	0.48	1.09	0.49	0.35	0.1
Blastopirellula	0	0.04	0.05	0.01	0	0.01	0.15	0.16	0.07	0.01	0.03	0.12	0.05	0.03	0.07	0.03	0.01	0.02	0.1
Planifilum	0.05	0.08	0.01	0.1	0.01	0.02	0.04	0.16	0.09	0.02	0.09	0.08	0.01	0.01	0.04	0.06	0.03	0.09	0.1
Pontibacter	0.03	0.01	0.02	0	0.02	0	0.01	0.04	0.07	0.01	0.03	0.02	0.03	0.07	0.04	0.01	0.01	0.05	0.1
Oleiharenicola	0	0.02	0.01	0	0.01	0.01	0.04	0.02	0.02	0.07	0.06	0.08	0.05	0.03	0.06	0.03	0.02	0.02	0.1
Pseudoxanthomonas	0.56	0.28	0.28	0.49	0.54	1.16	0.31	0.41	0.41	0.45	0.91	0.61	0.3	0.21	0.64	0.3	0.3	0.36	0.1
Rhizobacter	6.74	2.78	4.28	4.43	6.97	4.14	3.83	3.31	4.58	5.31	4.61	3.52	5.87	9.33	5.02	5.16	6.76	4.78	0.1
Chelativorans	0.07	0.06	0.08	0.04	0.02	0.22	0.05	0.03	0.1	0.05	0.11	0.09	0.07	0.01	0.07	0.03	0.04	0.1	0.1
Pantoea	0	0	0.01	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudolabrys	0.06	0.09	0.02	0.03	0.04	0.06	0.09	0.06	0.09	0.09	0.06	0.04	0.03	0.04	0.07	0.06	0.02	0.07	0.1
Pedobacter	0.05	0.03	0.05	0.05	0.11	0.02	0.03	0.04	0.11	0.08	0.04	0.08	0.06	0.22	0.05	0.04	0.11	0.13	0.1
Asprobacter	0.06	0.04	0.01	0.02	0	0.03	0.06	0.09	0.02	0.06	0	0.09	0.04	0.01	0.05	0.04	0.09	0.05	0.1
Cellulomonas	0.08	0.01	0.01	0.02	0	0.03	0.13	0.05	0.1	0.07	0.07	0.1	0.16	0.02	0.09	0.02	0.04	0.12	0.1
Desulfatiglans	0.05	0.06	0.01	0.04	0.03	0.01	0.02	0.06	0.03	0.02	0.03	0.05	0.05	0.05	0.05	0.06	0.07	0.04	0.1
Hydrogenophaga	0.2	0.07	0.08	0.18	0.91	0.14	0.09	0.23	0.08	0.44	0.32	0.2	0.11	0.01	0.15	0.19	0.13	0.22	0.1
Agrobacterium	0.1	0.01	0.08	0.03	0.04	0.01	0	0.1	0.08	0.23	0.23	0.1	0.01	0.08	0.07	0.16	0.04	0.08	0.1
Stigmatella	0.06	0.02	0.04	0.01	0.02	0.01	0.04	0.08	0.03	0.02	0.05	0.06	0.05	0.01	0.03	0.06	0.02	0.07	0.1
Frankia	0.01	0.03	0	0.03	0.01	0.01	0	0.04	0.03	0.04	0.05	0.06	0.04	0	0.01	0.02	0.02	0.02	0.1
Tahibacter	0.05	0.06	0.17	0.19	0.08	0.12	0.1	0.06	0.04	0.06	0.04	0.12	0.06	0.14	0.12	0.1	0.07	0.1	0.1
Herbaspirillum	0.07	0.08	0.01	0.06	0.03	0.13	0.06	0.01	0.05	0.05	0.05	0.01	0	0.16	0.04	0.03	0.16	0.03	0.1
Hamadaea	0.1	0.05	0.02	0.02	0.02	0.02	0	0.05	0.01	0	0.03	0.04	0.05	0.04	0.02	0.02	0.02	0.02	0.1
Kribbella	0.45	1.11	0.56	0.37	0.29	0.36	0.74	0.71	0.55	0.5	0.65	0.73	0.64	0.96	0.61	0.94	1.21	0.67	0.1
Algoriphagus	0.02	0.01	0.01	0.01	0.02	0.02	0.04	0.01	0.08	0.04	0.04	0.02	0.01	0.07	0.04	0.02	0.02	0.05	0.1
Gp17	0.02	0.03	0.03	0	0.03	0.04	0.25	0.06	0.04	0.01	0.11	0.13	0.08	0.08	0.1	0.04	0.02	0.06	0.1
Vicinamibacter	0.01	0.02	0.01	0	0.01	0.01	0.12	0.07	0.05	0.03	0.1	0.17	0.11	0.03	0.08	0.03	0.03	0.03	0.1
Geomonas	0.07	0.02	0.02	0.07	0.03	0.04	0.1	0.03	0.06	0.05	0.09	0.06	0.04	0.07	0.03	0.04	0	0.03	0.1
Glycomyces	0.06	0.15	0.05	0.03	0.04	0.06	0.02	0.03	0.08	0.03	0.02	0.04	0.09	0.04	0.03	0.06	0.08	0.04	0.1
Achromobacter	0.04	0	0.05	0.01	0.02	0	0.04	0.16	0	0.31	0.03	0.13	0	0.01	0.01	0.02	0	0.01	0.1
Ignavibacterium	0.02	0.03	0.01	0.02	0.04	0.05	0.03	0.03	0	0.09	0.02	0	0.02	0.01	0.02	0.01	0.02	0.03	0.1
Acidiferrimicrobium	0.01	0.02	0.02	0.03	0.02	0	0.08	0.04	0.01	0.01	0.02	0.02	0.03	0	0.03	0	0	0.05	0.1
Pseudorhodoferax	0.02	0	0	0	0.02	0.01	0.02	0.01	0	0.01	0	0	0.14	0	0	0.02	0	0.02	0.1
Armatimonadetes_gp5	0	0.01	0.02	0.01	0	0.03	0.06	0.05	0.04	0.01	0.02	0.03	0.03	0	0.05	0.03	0.02	0	0.1
Ardenticatena	0.04	0.05	0	0.03	0.01	0.04	0.05	0.02	0.01	0.05	0.01	0.02	0.05	0.02	0.03	0.05	0.02	0.05	0.1
Ralstonia	0	0.01	0.03	0.04	0.02	0.05	0.03	0.01	0.05	0.01	0.01	0.03	0.03	0.06	0.01	0.01	0.03	0.01	0.1
