"","names"
"1","ASV_657"
"2","ASV_2"
"3","ASV_3"
"4","ASV_12"
"5","ASV_4"
"6","ASV_6"
"7","ASV_8"
"8","ASV_18"
"9","ASV_9"
"10","ASV_10"
"11","ASV_11"
"12","ASV_13"
"13","ASV_15"
"14","ASV_14"
"15","ASV_17"
"16","ASV_28"
"17","ASV_20"
"18","ASV_33"
"19","ASV_25"
"20","ASV_21"
"21","ASV_22"
"22","ASV_31"
"23","ASV_24"
"24","ASV_23"
"25","ASV_26"
"26","ASV_29"
"27","ASV_27"
"28","ASV_30"
"29","ASV_32"
"30","ASV_34"
"31","ASV_36"
"32","ASV_37"
"33","ASV_47"
"34","ASV_39"
"35","ASV_43"
"36","ASV_38"
"37","ASV_41"
"38","ASV_55"
"39","ASV_42"
"40","ASV_71"
"41","ASV_46"
"42","ASV_166"
"43","ASV_63"
"44","ASV_44"
"45","ASV_40"
"46","ASV_50"
"47","ASV_378"
"48","ASV_45"
"49","ASV_48"
"50","ASV_49"
"51","ASV_51"
"52","ASV_53"
"53","ASV_57"
"54","ASV_54"
"55","ASV_56"
"56","ASV_59"
"57","ASV_2105"
"58","ASV_62"
"59","ASV_60"
"60","ASV_61"
"61","ASV_67"
"62","ASV_64"
"63","ASV_69"
"64","ASV_77"
"65","ASV_66"
"66","ASV_68"
"67","ASV_72"
"68","ASV_73"
"69","ASV_70"
"70","ASV_2157"
"71","ASV_79"
"72","ASV_74"
"73","ASV_81"
"74","ASV_427"
"75","ASV_76"
"76","ASV_75"
"77","ASV_86"
"78","ASV_78"
"79","ASV_84"
"80","ASV_83"
"81","ASV_87"
"82","ASV_85"
"83","ASV_93"
"84","ASV_88"
"85","ASV_89"
"86","ASV_91"
"87","ASV_102"
"88","ASV_92"
"89","ASV_114"
"90","ASV_94"
"91","ASV_100"
"92","ASV_101"
"93","ASV_104"
"94","ASV_97"
"95","ASV_96"
"96","ASV_110"
"97","ASV_98"
"98","ASV_106"
"99","ASV_109"
"100","ASV_99"
"101","ASV_284"
"102","ASV_113"
"103","ASV_2325"
"104","ASV_105"
"105","ASV_193"
"106","ASV_103"
"107","ASV_108"
"108","ASV_621"
"109","ASV_107"
"110","ASV_658"
"111","ASV_111"
"112","ASV_874"
"113","ASV_150"
"114","ASV_122"
"115","ASV_112"
"116","ASV_116"
"117","ASV_115"
"118","ASV_352"
"119","ASV_119"
"120","ASV_125"
"121","ASV_126"
"122","ASV_118"
"123","ASV_120"
"124","ASV_129"
"125","ASV_708"
"126","ASV_123"
"127","ASV_127"
"128","ASV_137"
"129","ASV_135"
"130","ASV_124"
"131","ASV_121"
"132","ASV_133"
"133","ASV_140"
"134","ASV_156"
"135","ASV_128"
"136","ASV_132"
"137","ASV_142"
"138","ASV_206"
"139","ASV_141"
"140","ASV_154"
"141","ASV_461"
"142","ASV_964"
"143","ASV_162"
"144","ASV_157"
"145","ASV_145"
"146","ASV_1068"
"147","ASV_147"
"148","ASV_144"
"149","ASV_143"
"150","ASV_148"
"151","ASV_151"
"152","ASV_146"
"153","ASV_159"
"154","ASV_158"
"155","ASV_149"
"156","ASV_172"
"157","ASV_173"
"158","ASV_167"
"159","ASV_164"
"160","ASV_170"
"161","ASV_152"
"162","ASV_240"
"163","ASV_181"
"164","ASV_182"
"165","ASV_195"
"166","ASV_190"
"167","ASV_742"
"168","ASV_169"
"169","ASV_243"
"170","ASV_186"
"171","ASV_330"
"172","ASV_161"
"173","ASV_183"
"174","ASV_178"
"175","ASV_160"
"176","ASV_175"
"177","ASV_185"
"178","ASV_237"
"179","ASV_187"
"180","ASV_192"
"181","ASV_165"
"182","ASV_1654"
"183","ASV_184"
"184","ASV_177"
"185","ASV_200"
"186","ASV_188"
"187","ASV_223"
"188","ASV_202"
"189","ASV_209"
"190","ASV_198"
"191","ASV_224"
"192","ASV_204"
"193","ASV_207"
"194","ASV_213"
"195","ASV_248"
"196","ASV_203"
"197","ASV_246"
"198","ASV_199"
"199","ASV_215"
"200","ASV_210"
"201","ASV_219"
"202","ASV_194"
"203","ASV_201"
"204","ASV_2195"
"205","ASV_235"
"206","ASV_218"
"207","ASV_212"
"208","ASV_191"
"209","ASV_208"
"210","ASV_238"
"211","ASV_245"
"212","ASV_216"
"213","ASV_279"
