"","ID","group","env1","env2","env3","env4","env5","env6","env7","env8","env9","env10"
"1","KO1","KO",7.67,12.18,1.65,7.38,113.02,10.11,12.89,71.29,651.23,6.74
"2","KO2","KO",7.61,12.51,1.61,7.78,97.05,13.2,13.97,60.49,643.66,3.69
"3","KO3","KO",7.15,13.63,1.44,9.47,111.79,14.87,12.84,66.49,696.42,5.21
"4","KO4","KO",6.89,13.45,1.54,8.74,115.47,9.4,12.1,61.69,642.46,5.72
"5","KO5","KO",7.39,13.06,1.82,7.17,100.73,35.62,12.8,65.29,646.21,5.72
"6","KO6","KO",7.01,14.95,1.63,9.15,117.93,50.36,12.85,67.69,680.53,5.72
"7","OE1","OE",6.81,13.58,1.51,8.99,125.3,43.56,12.72,66.49,571.56,10.81
"8","OE2","OE",6.58,14.75,1.69,8.75,128.99,49.48,12.83,78.49,677.08,9.79
"9","OE3","OE",7.7,12.15,1.06,11.5,105.64,14.82,12.53,67.69,636.46,5.72
"10","OE4","OE",7.13,11.91,1.09,10.89,101.96,4.22,11.97,50.89,513.71,7.76
"11","OE5","OE",7.46,11.9,1.32,9,124.07,16.9,12.13,55.69,538.29,3.69
"12","OE6","OE",7.26,11.5,1.32,8.68,103.19,5.72,12.55,41.29,508.62,1.65
"13","WT1","WT",7.49,13,1.59,8.2,108.1,44.66,12.82,65.29,660.9,4.71
"14","WT2","WT",6.67,13.85,1.51,9.18,117.93,39.36,13.13,61.69,605.74,5.72
"15","WT3","WT",7.59,12.99,1.65,7.86,108.1,33.78,13.08,61.69,627.77,5.72
"16","WT4","WT",6.74,13.13,1.47,8.91,124.07,39.26,13.84,59.29,556.72,4.71
"17","WT5","WT",7.25,13.35,1.55,8.64,131.44,50.64,13.83,67.69,599.74,5.72
"18","WT6","WT",7.21,12.41,1.54,8.09,95.82,45.32,13.11,61.69,554.32,5.72
