Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	7.65	8.11	6.49	5.98	5.56	8	10.3	7.9	7.28	7.92	7.86	9.1	7.83	6.57	9.44	7.07	6.77	7.91	14.0
Comamonadaceae	27.5	17.9	24.4	24.8	34.8	25.7	16.4	14.4	20.6	21.4	21	16.6	21.5	27.8	21.3	22.6	23.6	21.1	6.2
Micromonosporaceae	5.43	7.66	4.45	4.4	2.35	4.59	5.48	7.43	7.3	5.17	6.04	5.38	5.76	4.71	5.73	4.85	5.52	5.86	4.7
Steroidobacteraceae	3.58	3.37	2.51	2.49	1.12	2.59	4.85	3.39	3.58	3.07	3.84	4.42	2.76	3.5	4.4	4.13	3.18	4.9	3.7
Nocardioidaceae	2.15	3.32	3.4	2.49	2.33	2.77	1.89	3.4	2.14	1.96	2.97	2.16	2.05	1.67	2.76	2.48	2.2	2.23	3.3
Oxalobacteraceae	7.25	5.18	4.56	8.37	8.48	10.1	5.06	3.72	5.91	5.48	4.52	5.39	7.02	8.61	5.34	5.4	5.65	5.58	3.2
Pseudonocardiaceae	6.07	12	9.09	9.11	5.32	5.81	6.34	7.03	5.06	6.19	7.26	6.18	9.77	6.6	8.07	8.67	9.75	8.84	3.1
Xanthomonadaceae	1.91	1.43	2.01	2.27	2.39	2.78	1.46	1.57	1.97	1.71	3.09	2.26	1.45	1.82	2	2.44	1.97	2.41	2.7
Hyphomicrobiaceae	1.37	1.41	1.54	0.98	0.88	1.24	1.89	1.25	0.82	1.04	1.23	1.59	0.96	0.83	0.99	0.91	0.67	1.21	2.6
Polyangiaceae	2.49	1.47	0.96	1.22	0.71	2.26	2.03	1.26	1.63	1.8	1.56	2.02	1.24	0.91	1.69	1.37	1.02	1.5	2.6
Gaiellaceae	0.47	0.86	0.44	0.69	0.33	0.59	0.78	1.13	0.64	0.89	0.81	0.87	0.9	0.64	0.79	0.75	0.68	0.66	2.4
Sphingomonadaceae	1.77	1.89	3.22	2.86	3.3	2.59	1.59	1.35	1.19	1.41	1.73	1.92	1.1	1.59	1.21	2.07	1.86	1.44	2.1
Fulvivirgaceae	0.93	0.58	0.18	0.26	0.34	0.1	1.41	0.77	0.87	1.87	0.89	0.66	0.97	0.85	1.29	1.33	0.54	0.76	1.8
Streptomycetaceae	3.26	3.1	3.37	2.42	1.18	2	2.67	3.9	8.95	5.27	3.41	3.45	4.57	3.89	3.66	6.84	4.66	3.55	1.8
Rhizobiaceae	3.15	2.28	5.04	4.36	5.85	3.94	2.51	3.02	2.15	3.23	3.91	3.39	2.39	3.56	2.27	2.8	4.08	2.68	1.8
Bacillaceae_1	1	0.99	0.56	0.63	0.36	0.9	2.94	1.48	1.85	1.91	1.06	3.91	0.5	0.36	0.76	0.51	0.28	0.66	1.7
Caulobacteraceae	1.5	1.1	1.46	1.25	1.51	1.57	1.23	1.19	0.68	0.99	1.34	1.16	0.95	1.34	0.98	1.15	0.91	1.25	1.5
Phyllobacteriaceae	0.99	1.06	0.85	1.13	1.19	1.42	0.92	0.75	0.85	0.86	1	0.98	0.96	0.94	0.98	1.08	1.09	0.9	1.5
Iamiaceae	0.32	0.56	0.54	0.35	0.33	0.36	0.73	0.77	0.5	0.64	0.6	0.76	0.59	0.64	0.81	0.4	0.57	0.51	1.5
Paenibacillaceae_1	0.36	0.34	0.59	2.57	0.16	0.57	1.83	0.96	0.36	0.83	0.26	0.67	0.19	0.13	0.25	0.22	0.18	0.12	1.5
Roseiflexaceae	0.4	0.63	0.06	0.97	0.43	0.45	0.38	0.79	0.39	0.29	0.52	0.48	0.69	0.3	0.73	0.72	0.19	0.44	1.3
Devosiaceae	1.67	1.36	1.89	1.69	2.86	2.12	1.19	1.6	0.85	1.28	1.35	1.07	0.84	1.11	1.18	1	1.3	1.57	1.3
Flavobacteriaceae	1.55	1.85	7.15	2.37	4.28	1.89	1.49	7.05	6.59	4.66	2.03	2.04	3.91	4.25	2.77	1.67	3.74	4.44	1.2
Burkholderiaceae	0.25	0.24	0.22	0.36	0.14	0.46	0.44	0.29	0.34	0.28	0.4	0.46	0.26	0.34	0.24	0.23	0.27	0.25	1.1
Bradyrhizobiaceae	2.42	3.07	2.66	2.26	2.11	2.72	3.36	2.19	1.89	1.85	2.56	2.7	2	1.8	2.4	2.6	2.15	2.65	1.0
Solirubrobacteraceae	0.44	0.46	0.2	0.28	0.32	0.35	0.74	0.44	0.37	0.42	0.5	0.7	0.25	0.15	0.33	0.16	0.4	0.35	1.0
Microbacteriaceae	0.91	1.31	0.88	0.89	0.55	0.62	0.96	1.15	0.86	0.93	1.1	1.05	0.82	0.69	1.16	0.96	0.81	1.04	1.0
Rhodospirillaceae	0.5	0.63	0.32	0.3	0.16	0.29	1.22	0.75	0.74	0.62	0.64	0.7	0.61	0.57	0.59	0.78	0.31	0.48	0.9
Erythrobacteraceae	0.36	0.29	0.31	0.34	0.4	0.5	0.3	0.49	0.17	0.22	0.36	0.29	0.16	0.23	0.35	0.29	0.25	0.3	0.9
Herpetosiphonaceae	0.48	0.81	0.23	0.45	0.7	0.31	0.52	1.35	0.34	0.69	1.05	0.93	2.87	0.29	0.7	0.69	1.32	0.98	0.8
Pseudomonadaceae	0.59	0.36	0.37	0.46	1.49	0.47	1	2.44	0.61	2.6	1.44	2.18	0.48	0.43	0.62	0.38	1.29	0.8	0.8
Desulfuromonadaceae	0.44	0.54	0.15	0.19	0.21	0.33	0.64	0.41	0.39	0.38	0.55	0.65	0.37	0.31	0.62	0.33	0.36	0.55	0.8
Baekduiaceae	0.16	0.34	0.22	0.29	0.14	0.24	0.4	0.56	0.22	0.24	0.3	0.42	0.34	0.12	0.34	0.17	0.32	0.19	0.7
Oscillochloridaceae	0.18	0.26	0.05	0.11	0.16	0.12	0.18	0.24	0.16	0.13	0.17	0.11	0.2	0.12	0.07	0.16	0.1	0.27	0.7
Mycobacteriaceae	0.51	0.51	0.46	0.21	0.13	0.16	0.4	0.33	0.28	0.32	0.23	0.33	0.31	0.18	0.55	0.3	0.29	0.21	0.7
Haliangiaceae	0.18	0.21	0.07	0.15	0.2	0.12	0.42	0.28	0.21	0.22	0.3	0.29	0.29	0.17	0.37	0.17	0.21	0.24	0.7
Bdellovibrionaceae	0.12	0.13	0.08	0.14	0.23	0.1	0.11	0.08	0.1	0.08	0.16	0.07	0.09	0.2	0.05	0.14	0.06	0.1	0.7
Rhodanobacteraceae	0.19	0.21	0.31	0.37	0.27	0.28	0.24	0.22	0.26	0.15	0.13	0.23	0.29	0.32	0.27	0.26	0.27	0.34	0.7
Methylophilaceae	0.25	0.39	0.2	0.19	0.45	0.63	0.21	0.36	0.31	0.28	0.27	0.14	0.32	0.42	0.58	0.38	0.24	0.28	0.6
Promicromonosporaceae	0.3	0.34	0.13	0.24	0.11	0.43	0.27	0.21	0.18	0.16	0.52	0.4	0.21	0.24	0.25	0.19	0.11	0.21	0.5
Boseaceae	0.38	0.38	0.9	1.27	0.79	0.49	0.41	0.53	0.22	0.27	0.48	0.3	0.45	0.3	0.33	0.55	0.79	0.51	0.5
Geobacteraceae	0.1	0.1	0.05	0.07	0.04	0.12	0.24	0.14	0.18	0.14	0.23	0.18	0.13	0.2	0.15	0.07	0.09	0.17	0.5
Nannocystaceae	0.21	0.05	0.15	0.13	0.06	0.17	0.2	0.1	0.2	0.16	0.17	0.24	0.23	0.33	0.3	0.34	0.25	0.22	0.5
Kofleriaceae	0.06	0.09	0.04	0.1	0.02	0.1	0.22	0.19	0.21	0.16	0.2	0.11	0.24	0.13	0.18	0.12	0.11	0.1	0.5
Hyphomonadaceae	0.16	0.15	0.05	0.08	0.12	0.13	0.24	0.16	0.11	0.17	0.17	0.22	0.15	0.09	0.16	0.21	0.18	0.21	0.4
Cystobacteraceae	0.15	0.08	0.05	0.02	0.03	0.01	0.11	0.16	0.11	0.2	0.12	0.09	0.09	0.07	0.09	0.12	0.06	0.1	0.4
Chitinophagaceae	0.16	0.1	0.07	0.1	0.04	0.06	0.59	0.37	0.5	0.49	0.31	0.26	0.35	0.56	0.4	0.43	0.28	0.16	0.4
Leptospiraceae	0.05	0.02	0.1	0.08	0.12	0.08	0.09	0.11	0.09	0.18	0.17	0.08	0.11	0.16	0.13	0.15	0.06	0.12	0.4
Kaistiaceae	0.38	0.3	0.35	0.25	0.34	0.36	0.55	0.3	0.35	0.22	0.41	0.33	0.2	0.23	0.54	0.13	0.18	0.32	0.4
Actinopolymorphaceae	0.09	0.06	0.02	0.06	0.05	0.05	0.18	0.2	0.14	0.16	0.15	0.21	0.18	0.06	0.11	0.09	0.1	0.13	0.4
Labilitrichaceae	0.1	0.18	0.1	0.1	0.05	0.05	0.15	0.06	0.14	0.07	0.11	0.16	0.09	0.1	0.14	0.09	0.1	0.14	0.4
Micrococcaceae	0.12	0.15	0.1	0.08	0.04	0.1	0.13	0.38	0.15	0.17	0.28	0.24	0.13	0.1	0.17	0.28	0.13	0.18	0.4
Kineosporiaceae	0.43	0.93	0.42	0.81	0.16	0.3	0.86	0.52	0.6	0.85	0.69	0.55	1.16	1.17	0.86	0.87	0.98	0.55	0.4
Lacipirellulaceae	0	0.14	0.03	0.02	0	0.01	0.23	0.45	0.19	0.07	0.12	0.2	0.12	0.11	0.11	0.09	0.08	0.04	0.4
Methylobacteriaceae	0.37	0.47	0.42	0.54	0.3	0.48	0.56	0.34	0.3	0.38	0.3	0.59	0.2	0.15	0.41	0.43	0.16	0.37	0.4
Chloroflexaceae	0.2	0.37	0.07	0.12	0.21	0.12	0.19	0.4	0.29	0.24	0.14	0.26	0.39	0.21	0.28	0.23	0.13	0.2	0.4
Gemmatimonadaceae	0.1	0.05	0.06	0.04	0.02	0.02	0.16	0.1	0.1	0.09	0.07	0.1	0.05	0.1	0.07	0.05	0.06	0.11	0.4
Gallionellaceae	0.14	0.11	0.31	0.1	0.05	0.08	0.16	0.12	0.11	0.06	0.09	0.23	0.15	0.04	0.1	0.13	0.06	0.15	0.4
Bacteriovoracaceae	0.07	0.14	0.29	0.19	0.56	0.24	0.17	0.21	0.13	0.35	0.22	0.08	0.23	0.59	0.14	0.18	0.31	0.08	0.4
Opitutaceae	0	0.02	0.02	0.01	0.02	0.04	0.06	0.04	0.11	0.11	0.17	0.24	0.15	0.09	0.15	0.08	0.07	0.05	0.3
Ilumatobacteraceae	0.15	0.14	0.12	0.1	0.07	0.1	0.36	0.09	0.13	0.16	0.22	0.32	0.12	0.15	0.13	0.14	0.1	0.1	0.3
Alcaligenaceae	0.18	0.08	0.17	0.07	0.05	0.07	0.16	0.2	0.02	0.39	0.15	0.24	0.03	0.1	0.14	0.09	0.03	0.11	0.3
Sphingobacteriaceae	0.13	0.05	0.05	0.1	0.16	0.02	0.04	0.07	0.12	0.1	0.11	0.12	0.08	0.29	0.09	0.06	0.13	0.14	0.3
Conexibacteraceae	0.23	0.21	0.07	0.11	0.09	0.4	0.41	0.21	0.16	0.16	0.23	0.34	0.1	0.09	0.1	0.12	0.17	0.16	0.3
Reyranellaceae	0.17	0.23	0.23	0.1	0.04	0.25	0.28	0.14	0.21	0.16	0.15	0.23	0.16	0.09	0.14	0.26	0.11	0.13	0.3
Pirellulaceae	0.02	0.04	0.06	0.01	0	0.04	0.18	0.19	0.1	0.04	0.09	0.17	0.08	0.03	0.08	0.05	0.03	0.02	0.3
Afifellaceae	0.19	0.25	0.11	0.18	0.06	0.17	0.21	0.18	0.09	0.16	0.17	0.23	0.21	0.09	0.13	0.14	0.11	0.14	0.3
Acidimicrobiales_incertae_sedis	0.01	0.09	0.03	0.02	0.06	0.11	0.1	0.08	0.1	0.05	0.1	0.06	0.07	0.08	0.08	0.07	0.03	0.04	0.3
Nitrospiraceae	0.05	0.06	0.03	0.06	0.03	0.06	0.1	0.06	0.09	0.07	0.11	0.13	0.07	0.07	0.08	0.34	0.12	0.15	0.2
Myxococcaceae	0.06	0.1	0.03	0.05	0.04	0.05	0.09	0.16	0.08	0.04	0.11	0.17	0.03	0.07	0.08	0.01	0.02	0.1	0.2
Weeksellaceae	0.02	0.03	0.02	0.02	0.04	0.03	0.02	0.12	0.06	0.07	0.04	0.02	0.02	0.01	0.06	0.29	0.03	0.02	0.2
Streptosporangiaceae	0.05	0.38	0.24	0.34	0.03	0.08	0.18	0.3	0.13	0.14	0.3	0.04	0.11	0.28	0.22	0.05	0.18	0.21	0.2
Sporichthyaceae	0.43	0.48	0.5	0.35	0.15	0.36	0.31	0.33	0.53	0.32	0.38	0.21	0.65	0.38	0.39	0.33	0.67	0.68	0.2
Cellvibrionaceae	0.12	0.03	0.05	0.04	0.03	0.02	0.09	0.3	0.65	0.39	0.04	0.04	0.3	0.1	0.08	0.04	0.04	0.09	0.2
Sneathiellaceae	0.07	0.08	0.04	0.04	0.07	0.08	0.06	0.07	0.05	0.05	0.08	0.09	0.14	0.09	0.07	0.26	0.1	0.13	0.2
Kallotenuaceae	0.3	0.26	0.03	0.09	0.05	0.08	0.16	0.12	0.18	0.2	0.14	0.15	0.17	0.06	0.2	0.09	0.04	0.15	0.2
Acidimicrobiaceae	0.01	0.02	0.02	0.03	0.02	0	0.08	0.04	0.01	0.01	0.02	0.02	0.03	0	0.03	0	0	0.05	0.1
Pleomorphomonadaceae	0.07	0.04	0.06	0.07	0.18	0.07	0.05	0.05	0.07	0.05	0.05	0.04	0.07	0.11	0.17	0.02	0.09	0.07	0.1
Planococcaceae	0.05	0.04	0.02	0.06	0.02	0.02	0.09	0.02	0.06	0.01	0.12	0.26	0.01	0.02	0.02	0.02	0.04	0.04	0.1
Thermoactinomycetaceae_1	0.01	0.08	0.01	0.01	0	0.02	0	0	0.04	0.01	0	0.06	0	0.01	0.02	0.13	0	0.02	0.1
Chelatococcaceae	0.13	0.18	0.57	0.1	0.18	0.13	0.09	0.16	0.07	0.15	0.08	0.09	0.05	0.13	0.09	0.09	0.04	0.1	0.1
Cellulomonadaceae	0.08	0.01	0.01	0.02	0	0.03	0.13	0.05	0.1	0.07	0.07	0.1	0.16	0.02	0.09	0.02	0.04	0.12	0.1
Thermoactinomycetaceae_2	0.05	0.08	0.01	0.1	0.01	0.02	0.04	0.16	0.09	0.02	0.09	0.08	0.01	0.01	0.04	0.06	0.03	0.09	0.1
Azospirillaceae	0.04	0.01	0.01	0.03	0.01	0.02	0.08	0.02	0.06	0.02	0.02	0.04	0.05	0.02	0.2	0.07	0.01	0.01	0.1
Ignavibacteriaceae	0.02	0.03	0.01	0.02	0.04	0.05	0.03	0.03	0	0.09	0.02	0	0.02	0.01	0.02	0.01	0.02	0.03	0.1
Frankiaceae	0.01	0.03	0	0.03	0.01	0.01	0	0.04	0.03	0.04	0.05	0.06	0.04	0	0.01	0.02	0.02	0.02	0.1
Erwiniaceae	0	0	0.01	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0.1
Intrasporangiaceae	0.05	0.16	0.07	0.03	0.05	0.06	0.04	0.13	0.06	0.02	0.02	0.1	0.05	0.03	0.08	0.06	0.04	0.04	0.1
Hymenobacteraceae	0.03	0.01	0.02	0	0.02	0	0.01	0.04	0.07	0.01	0.03	0.02	0.03	0.07	0.04	0.01	0.01	0.05	0.1
Rubrobacteraceae	0.02	0.13	0.04	0.05	0	0.04	0.13	0.09	0.04	0.06	0.03	0.14	0.07	0.05	0.07	0.07	0.12	0.04	0.1
Glycomycetaceae	0.06	0.15	0.05	0.03	0.04	0.06	0.02	0.03	0.08	0.03	0.02	0.04	0.09	0.04	0.03	0.06	0.08	0.04	0.1
Sandaracinaceae	0.23	0.18	0.31	0.22	0.36	0.13	0.15	0.14	0.15	0.13	0.24	0.16	0.16	0.22	0.19	0.26	0.24	0.21	0.1
Geodermatophilaceae	0.04	0.23	0.09	0.08	0.03	0.08	0.14	0.25	0.11	0.09	0.11	0.35	0.06	0.05	0.11	0.13	0.17	0.08	0.1
Ectothiorhodospiraceae	0.13	0.19	0.09	0.03	0.03	0.08	0.29	0.1	0.19	0.1	0.15	0.27	0.18	0.04	0.19	0.07	0.09	0.14	0.1
Cryptosporangiaceae	0.04	0.01	0.01	0	0	0.07	0.03	0.04	0	0.02	0.02	0.06	0.02	0	0.02	0.07	0.04	0.02	0.1
Vicinamibacteraceae	0.01	0.02	0.01	0	0.01	0.01	0.12	0.07	0.05	0.03	0.1	0.17	0.11	0.03	0.08	0.03	0.03	0.03	0.1
Methylocystaceae	0.05	0.03	0.07	0.01	0.01	0.06	0.06	0.03	0.02	0.03	0.02	0.04	0.03	0.01	0.04	0	0.03	0.06	0.1
Cryomorphaceae	0.05	0.03	0.05	0.03	0	0.01	0.08	0.05	0.14	0.15	0.06	0.11	0.08	0.17	0.13	0.14	0.13	0.06	0.1
Cyclobacteriaceae	0.02	0.01	0.01	0.01	0.02	0.02	0.04	0.01	0.08	0.04	0.04	0.02	0.01	0.07	0.04	0.02	0.02	0.05	0.1
Kribbellaceae	0.45	1.11	0.56	0.37	0.29	0.36	0.74	0.71	0.55	0.5	0.65	0.73	0.64	0.96	0.61	0.94	1.21	0.67	0.1
