Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Actinobacteria	22.2	33.9	24.6	23.7	13.5	19.1	22.2	28.5	28.3	23.9	25.7	23.1	28.8	22.8	26.6	29.1	28.9	26.2	19.1
Alphaproteobacteria	17.5	17.1	21.7	19.6	21.6	21	19.1	16.3	12.3	14.8	17.6	18.1	13.2	14.6	15.3	16.1	15.7	16.3	19.1
Betaproteobacteria	36	24.2	30.3	34.1	44.1	37.4	22.9	19.5	27.7	28.3	27	23.7	29.6	37.5	28.1	29.2	30.3	28	13.0
Gammaproteobacteria	7.46	6.57	6.27	6.59	6.25	7.11	10.3	8.99	8.29	9.11	9.9	10.7	6.41	7.1	8.95	8.6	7.81	10	11.0
Deltaproteobacteria	5.3	4.23	3.37	3.87	3.24	4.56	5.77	4.12	4.71	4.7	5.21	5.42	4.29	4.65	5.48	4.44	4.27	4.77	9.3
Thermoleophilia	1.43	2.1	1.03	1.57	0.98	1.68	2.53	2.57	1.53	1.87	2.02	2.52	1.84	1.18	1.74	1.31	1.81	1.55	5.1
Bacilli	2.26	2.56	1.88	3.72	1.03	2.19	5.8	3.61	2.71	3.54	2.16	5.54	1.04	0.7	1.45	1.14	0.92	1.3	4.3
Chloroflexia	1.66	2.6	0.46	1.89	1.68	1.12	1.55	2.97	1.5	1.74	2.09	2.07	4.44	1.07	2.11	1.97	1.81	2.09	3.9
Unassigned	1.64	1.54	0.93	0.73	1.05	1.98	2.17	1.68	1.45	1.68	1.76	1.88	2.45	1.28	2.03	1.59	1.34	1.64	2.8
Cytophagia	1.09	0.66	0.35	0.37	0.38	0.17	1.65	1.02	1.45	2.24	1.19	0.87	1.26	1.22	1.61	1.54	0.7	1.09	2.6
Acidimicrobiia	0.49	0.81	0.71	0.5	0.48	0.57	1.27	0.98	0.74	0.86	0.94	1.16	0.81	0.87	1.05	0.61	0.7	0.7	2.2
Flavobacteriia	1.62	1.91	7.22	2.42	4.32	1.93	1.59	7.22	6.79	4.88	2.13	2.17	4.01	4.43	2.96	2.1	3.9	4.52	1.6
Acidobacteria_Gp10	0.24	0.21	0.13	0.08	0.15	0.2	0.27	0.26	0.32	0.16	0.21	0.38	0.06	0.11	0.6	0.3	0.06	0.19	0.7
Planctomycetacia	0.03	0.18	0.12	0.04	0	0.05	0.42	0.64	0.29	0.11	0.26	0.38	0.21	0.14	0.21	0.14	0.12	0.06	0.7
Spirochaetia	0.06	0.03	0.11	0.1	0.13	0.08	0.11	0.13	0.12	0.21	0.18	0.11	0.11	0.19	0.15	0.17	0.06	0.16	0.5
Chitinophagia	0.16	0.1	0.07	0.1	0.04	0.06	0.59	0.37	0.5	0.49	0.31	0.26	0.35	0.56	0.4	0.43	0.28	0.16	0.4
Oligoflexia	0.07	0.14	0.29	0.19	0.56	0.24	0.17	0.21	0.13	0.35	0.22	0.08	0.23	0.59	0.14	0.18	0.31	0.08	0.4
Subdivision3	0.09	0.04	0.05	0.04	0.02	0.04	0.07	0.05	0.1	0.09	0.06	0.06	0.07	0.02	0.1	0.05	0.03	0.04	0.4
Gemmatimonadetes	0.1	0.05	0.06	0.04	0.02	0.02	0.16	0.1	0.1	0.09	0.07	0.1	0.05	0.1	0.07	0.05	0.06	0.11	0.4
Opitutae	0	0.02	0.02	0.01	0.02	0.04	0.06	0.04	0.11	0.11	0.17	0.24	0.15	0.09	0.15	0.08	0.07	0.05	0.3
Clostridia	0.01	0.45	0.04	0.03	0.02	0.01	0.06	0.01	0.1	0.01	0.01	0.1	0.02	0	0.01	0.01	0.01	0.17	0.3
Sphingobacteriia	0.13	0.05	0.05	0.1	0.16	0.02	0.04	0.07	0.12	0.1	0.11	0.12	0.08	0.29	0.09	0.06	0.13	0.14	0.3
Spartobacteria	0.03	0	0.02	0	0.02	0.02	0.13	0.05	0.07	0.02	0.03	0.07	0.05	0.03	0.03	0.07	0.01	0.03	0.2
Nitrospira	0.05	0.06	0.03	0.06	0.03	0.06	0.1	0.06	0.09	0.07	0.11	0.13	0.07	0.07	0.08	0.34	0.12	0.15	0.2
Acidobacteria_Gp17	0.02	0.03	0.03	0	0.03	0.04	0.25	0.06	0.04	0.01	0.11	0.13	0.08	0.08	0.1	0.04	0.02	0.06	0.1
Vicinamibacteria	0.01	0.02	0.01	0	0.01	0.01	0.12	0.07	0.05	0.03	0.1	0.17	0.11	0.03	0.08	0.03	0.03	0.03	0.1
Ignavibacteria	0.02	0.03	0.01	0.02	0.04	0.05	0.03	0.03	0	0.09	0.02	0	0.02	0.01	0.02	0.01	0.02	0.03	0.1
Rubrobacteria	0.02	0.13	0.04	0.05	0	0.04	0.13	0.09	0.04	0.06	0.03	0.14	0.07	0.05	0.07	0.07	0.12	0.04	0.1
Verrucomicrobiae	0	0	0.03	0	0.01	0	0.02	0.01	0.07	0.01	0.07	0.06	0.01	0.06	0.01	0.03	0.03	0.01	0.1
Ardenticatenia	0.04	0.05	0	0.03	0.01	0.04	0.05	0.02	0.01	0.05	0.01	0.02	0.05	0.02	0.03	0.05	0.02	0.05	0.1
Campylobacteria	0.07	0.01	0.01	0.01	0.03	0.02	0.1	0.11	0.04	0.1	0.02	0.01	0.02	0.07	0.09	0.05	0.08	0.05	0.1
Acidobacteria_Gp3	0.01	0.04	0.01	0.01	0	0.01	0.03	0.02	0.05	0.02	0.01	0	0	0.01	0.03	0	0	0.01	0.1
Acidobacteria_Gp6	0.01	0.04	0	0.01	0	0	0.12	0.02	0.05	0.03	0.09	0.11	0.03	0.01	0.04	0.05	0	0.02	0.1
Longimicrobia	0.07	0.1	0.04	0.05	0.04	0.08	0.08	0.1	0.05	0.06	0.07	0.06	0.05	0.04	0.04	0.11	0.07	0.07	0.1
Negativicutes	0	0	0.01	0	0.05	0.03	0.02	0.03	0.01	0.01	0.09	0.01	0	0.02	0.05	0	0.16	0	0.1
Chlamydiia	0.02	0.01	0	0	0.01	0.02	0.04	0.02	0.04	0.07	0.01	0	0	0	0.09	0.01	0	0.06	0.1
Erysipelotrichia	0	0.01	0	0.01	0	0	0.01	0.02	0.02	0.01	0	0.04	0.01	0	0.02	0	0.01	0	0.1
