var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae	-0.451969780580994	0.483897997762435	0.935867778343429	-2.94035234342547	0.0164855198783745	8.99573783929428	-0.799717398958715	-0.104222162203274	Welch Two Sample t-test	two.sided
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae	-1.99069502656096	2.59735498910864	4.5880500156696	-3.23363761049863	0.0102607041523495	9.00133133741399	-3.3832949488753	-0.598095104246627	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	-0.267564744544974	0.0847445216136141	0.352309266158588	-5.03926670609458	0.00216129918490474	6.18245806836758	-0.396562099058008	-0.138567390031941	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Fulvivirgaceae	-0.393848725585711	0.157913671063866	0.551762396649576	-5.20588424818403	0.000421165957751343	9.82646534413139	-0.562821911698734	-0.224875539472688	Welch Two Sample t-test	two.sided
Bacteria|Nitrospirae|Nitrospira|Nitrospirales|Nitrospiraceae	-0.109452741609429	0.0513683823404888	0.160821123949918	-2.64535339986416	0.0425827544824944	5.36973575772716	-0.213646355840858	-0.00525912737800037	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae	0.80911314357387	1.90416157508569	1.09504843151182	3.43557818394782	0.0128140442505546	6.3115194028673	0.239665839366293	1.37856044778145	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae	0.294813218371811	0.91641374255683	0.62160052418502	2.40391934835486	0.0386899301952413	9.34386906069231	0.0189340717973701	0.570692364946252	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Unassigned	0.266909310462459	0.807286953232213	0.540377642769754	2.34538113556367	0.0411071955929434	9.93962473508773	0.0131334895985199	0.520685131326399	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	1.0923479318413	2.59143272238436	1.49908479054305	3.63495679533887	0.00735016908805484	7.53541735178161	0.391858445369597	1.792837418313	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae	-0.0485107045312235	0.0736279967729638	0.122138701304187	-2.67224519705225	0.0279416603179863	8.1046371274327	-0.0902789478964124	-0.00674246116603464	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Anaeromyxobacteraceae	-0.120927087860169	0.222528465391825	0.343455553251994	-3.31177192790218	0.00850517959547847	9.4258941037483	-0.202962775227161	-0.0388914004931762	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Nannocystaceae	-0.177673685960338	0.19317786921437	0.370851555174709	-5.9919448965009	0.000664386919377897	6.64787112346014	-0.24854969321431	-0.106797678706367	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_incertae_sedis|Unassigned	-0.683004889966737	1.64226974679266	2.3252746367594	-2.84924743760363	0.0244755530328358	7.06451775160947	-1.24879102860643	-0.117218751327046	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales|Nevskiaceae	-0.409275178963937	1.06870475040838	1.47797992937231	-2.41461826509539	0.0371279643096312	9.68975462517141	-0.788587800358587	-0.029962557569287	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Unassigned|Unassigned|Unassigned	-0.46012694142942	1.0368954442633	1.49702238569272	-2.3892328645069	0.0407139008103175	8.9639023518746	-0.896048769965166	-0.0242051128936744	Welch Two Sample t-test	two.sided
