manhatten	KO1	KO2	OE1	OE2	OE5	OE6	WT6	OE4	OE3	WT3	WT1	WT4	KO6	WT2	WT5	KO4	KO3	KO5
KO1	0	315.0	319.0	316.0	335.0	318.0	317.0	310.0	340.0	333.0	354.0	343.0	366.0	392.0	394.0	408.0	415.0	426.0
KO2	315.0	0	308.0	313.0	324.0	303.0	300.0	329.0	327.0	326.0	343.0	348.0	341.0	361.0	381.0	369.0	394.0	427.0
OE1	319.0	308.0	0	293.0	296.0	257.0	292.0	279.0	313.0	304.0	333.0	330.0	365.0	387.0	367.0	429.0	440.0	483.0
OE2	316.0	313.0	293.0	0	251.0	256.0	307.0	292.0	306.0	287.0	306.0	311.0	360.0	354.0	348.0	396.0	421.0	422.0
OE5	335.0	324.0	296.0	251.0	0	251.0	278.0	297.0	317.0	290.0	313.0	310.0	331.0	343.0	347.0	383.0	410.0	409.0
OE6	318.0	303.0	257.0	256.0	251.0	0	297.0	284.0	282.0	285.0	294.0	313.0	362.0	358.0	360.0	396.0	405.0	444.0
WT6	317.0	300.0	292.0	307.0	278.0	297.0	0	299.0	347.0	288.0	333.0	330.0	355.0	365.0	365.0	393.0	418.0	439.0
OE4	310.0	329.0	279.0	292.0	297.0	284.0	299.0	0	300.0	309.0	332.0	325.0	366.0	374.0	354.0	390.0	421.0	446.0
OE3	340.0	327.0	313.0	306.0	317.0	282.0	347.0	300.0	0	327.0	336.0	357.0	380.0	378.0	374.0	412.0	445.0	468.0
WT3	333.0	326.0	304.0	287.0	290.0	285.0	288.0	309.0	327.0	0	315.0	322.0	369.0	361.0	367.0	381.0	414.0	479.0
WT1	354.0	343.0	333.0	306.0	313.0	294.0	333.0	332.0	336.0	315.0	0	341.0	398.0	360.0	354.0	402.0	431.0	458.0
WT4	343.0	348.0	330.0	311.0	310.0	313.0	330.0	325.0	357.0	322.0	341.0	0	365.0	359.0	373.0	393.0	416.0	437.0
KO6	366.0	341.0	365.0	360.0	331.0	362.0	355.0	366.0	380.0	369.0	398.0	365.0	0	400.0	382.0	374.0	415.0	408.0
WT2	392.0	361.0	387.0	354.0	343.0	358.0	365.0	374.0	378.0	361.0	360.0	359.0	400.0	0	370.0	408.0	441.0	430.0
WT5	394.0	381.0	367.0	348.0	347.0	360.0	365.0	354.0	374.0	367.0	354.0	373.0	382.0	370.0	0	414.0	427.0	438.0
KO4	408.0	369.0	429.0	396.0	383.0	396.0	393.0	390.0	412.0	381.0	402.0	393.0	374.0	408.0	414.0	0	411.0	448.0
KO3	415.0	394.0	440.0	421.0	410.0	405.0	418.0	421.0	445.0	414.0	431.0	416.0	415.0	441.0	427.0	411.0	0	413.0
KO5	426.0	427.0	483.0	422.0	409.0	444.0	439.0	446.0	468.0	479.0	458.0	437.0	408.0	430.0	438.0	448.0	413.0	0
