bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.298	0.337	0.300	0.346	0.276	0.330	0.357	0.332	0.305	0.290	0.307	0.304	0.315	0.308	0.315	0.333	0.306
KO2	0.298	0	0.361	0.352	0.439	0.320	0.320	0.341	0.343	0.329	0.291	0.314	0.303	0.352	0.295	0.301	0.345	0.309
KO3	0.337	0.361	0	0.326	0.336	0.337	0.422	0.402	0.366	0.363	0.347	0.405	0.372	0.352	0.366	0.354	0.350	0.334
KO4	0.300	0.352	0.326	0	0.325	0.282	0.403	0.398	0.375	0.344	0.333	0.391	0.329	0.328	0.363	0.355	0.347	0.340
KO5	0.346	0.439	0.336	0.325	0	0.343	0.481	0.445	0.441	0.404	0.395	0.470	0.385	0.357	0.411	0.410	0.375	0.385
KO6	0.276	0.320	0.337	0.282	0.343	0	0.383	0.412	0.371	0.342	0.320	0.361	0.347	0.338	0.350	0.337	0.346	0.351
OE1	0.330	0.320	0.422	0.403	0.481	0.383	0	0.307	0.347	0.304	0.287	0.255	0.344	0.382	0.272	0.331	0.379	0.297
OE2	0.357	0.341	0.402	0.398	0.445	0.412	0.307	0	0.333	0.295	0.282	0.320	0.323	0.386	0.301	0.354	0.356	0.290
OE3	0.332	0.343	0.366	0.375	0.441	0.371	0.347	0.333	0	0.265	0.296	0.328	0.288	0.323	0.304	0.319	0.326	0.296
OE4	0.305	0.329	0.363	0.344	0.404	0.342	0.304	0.295	0.265	0	0.260	0.302	0.276	0.300	0.268	0.285	0.301	0.280
OE5	0.290	0.291	0.347	0.333	0.395	0.320	0.287	0.282	0.296	0.260	0	0.273	0.276	0.308	0.245	0.274	0.281	0.251
OE6	0.307	0.314	0.405	0.391	0.470	0.361	0.255	0.320	0.328	0.302	0.273	0	0.333	0.379	0.285	0.321	0.368	0.309
WT1	0.304	0.303	0.372	0.329	0.385	0.347	0.344	0.323	0.288	0.276	0.276	0.333	0	0.271	0.273	0.302	0.281	0.269
WT2	0.315	0.352	0.352	0.328	0.357	0.338	0.382	0.386	0.323	0.300	0.308	0.379	0.271	0	0.305	0.295	0.293	0.316
WT3	0.308	0.295	0.366	0.363	0.411	0.350	0.272	0.301	0.304	0.268	0.245	0.285	0.273	0.305	0	0.269	0.310	0.253
WT4	0.315	0.301	0.354	0.355	0.410	0.337	0.331	0.354	0.319	0.285	0.274	0.321	0.302	0.295	0.269	0	0.325	0.289
WT5	0.333	0.345	0.350	0.347	0.375	0.346	0.379	0.356	0.326	0.301	0.281	0.368	0.281	0.293	0.310	0.325	0	0.288
WT6	0.306	0.309	0.334	0.340	0.385	0.351	0.297	0.290	0.296	0.280	0.251	0.309	0.269	0.316	0.253	0.289	0.288	0
