#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
506057	38	26	48	50	39	41	19	21	37	27	28	53	30	75	32	105	30	29
554420	34	58	79	30	28	45	46	59	81	38	66	42	45	87	68	58	51	80
336364	102	124	222	257	365	229	68	63	81	99	138	100	131	195	83	90	186	92
3579424	24	5	12	13	9	13	2	1	5	2	2	2	2	3	3	6	5	5
4349251	3	1	1	0	0	0	1	0	4	2	2	5	0	2	3	1	2	3
4170464	2	0	0	3	2	1	0	0	1	2	1	4	2	1	1	3	1	4
834418	14	14	11	6	3	3	13	12	5	13	12	8	5	8	10	5	4	12
4373617	49	30	43	23	50	37	76	44	42	42	71	70	42	67	103	69	76	86
4447334	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
17991	114	260	124	155	90	175	117	141	222	148	198	138	186	108	133	153	259	194
849836	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
895220	5	2	4	3	7	5	5	9	5	6	4	10	3	5	2	2	2	2
224825	18	10	14	11	16	19	7	9	10	8	10	16	16	18	23	17	18	10
241533	32	30	28	25	12	12	45	26	7	20	30	34	26	18	17	14	6	37
107275	1	0	0	2	1	0	0	0	0	1	0	1	1	1	0	0	0	0
1088254	29	27	30	35	29	28	19	19	23	9	17	7	27	20	32	23	22	22
143130	17	18	3	31	27	53	11	7	19	9	12	15	31	18	15	10	16	13
811122	14	19	9	10	22	10	7	10	14	13	8	9	8	10	16	6	9	6
79085	15	5	5	10	23	9	18	10	13	17	12	12	8	10	22	29	13	9
39735	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
798634	6	3	11	14	7	14	7	1	6	7	8	7	12	5	6	11	8	9
332595	13	10	13	16	10	10	9	14	5	8	8	3	10	8	2	9	9	9
1129297	4	4	1	2	2	3	0	4	3	0	0	1	1	3	1	1	0	2
542933	1	2	1	0	0	0	1	1	0	1	2	0	1	0	2	0	1	2
214611	4	5	2	4	2	7	5	5	3	4	5	4	2	4	4	3	3	11
112992	16	28	21	7	9	11	18	13	21	12	20	22	13	9	22	15	4	25
523542	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1136913	22	23	18	27	10	21	27	24	22	17	22	33	19	21	24	18	20	31
1126427	11	10	4	13	5	15	7	11	11	7	25	9	13	8	1	7	8	4
135933	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0
172808	5	0	0	4	2	3	1	1	1	0	2	0	1	3	1	1	3	3
4478654	1	2	0	0	0	0	0	2	2	0	1	0	2	0	0	0	0	1
334324	1	2	2	2	0	2	2	2	3	0	9	1	0	1	2	4	4	6
138062	19	12	15	9	16	24	18	47	66	38	25	15	19	24	15	27	5	14
544457	97	283	175	136	131	158	54	81	32	114	106	53	143	176	74	213	602	91
4360252	8	17	3	7	12	4	6	6	7	9	6	8	11	5	15	8	10	13
219727	21	0	0	2	2	1	0	3	1	0	0	3	0	0	0	0	0	0
2618782	2	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0
4301407	6	0	12	3	1	0	3	1	0	2	1	1	2	3	3	9	2	0
650099	18	7	21	17	24	18	10	5	6	3	8	8	8	9	11	6	7	11
580635	23	4	9	15	6	3	33	8	8	18	15	26	8	3	11	13	8	14
4294646	18	10	24	24	40	14	14	17	22	32	32	29	12	23	16	16	16	12
783209	3	2	0	0	0	0	0	1	1	1	0	0	1	0	3	0	0	1
243709	45	35	59	49	67	43	24	16	21	26	35	25	21	28	17	38	37	34
1033018	2	0	0	4	1	2	0	0	4	0	1	2	1	0	1	1	0	0
218095	5	1	7	7	2	4	0	4	1	5	4	3	2	3	8	3	1	1
1126866	17	20	53	26	104	17	17	21	7	32	43	15	21	15	17	24	49	21
369289	34	42	27	4	2	14	15	20	53	19	13	31	9	12	13	17	28	16
223418	1	6	5	8	0	4	6	8	4	0	4	6	3	0	5	9	4	3
246078	3	7	0	3	0	1	5	5	3	4	8	3	3	3	6	3	2	5
1939004	5	2	2	2	2	4	2	0	3	1	12	1	4	31	6	2	13	2
1061429	12	1	6	9	5	10	4	8	18	17	8	9	5	19	18	16	3	7
743788	6	1	8	0	1	0	0	11	0	0	0	4	0	0	6	1	0	1
3329855	27	41	33	25	52	46	15	2	21	22	24	21	16	23	15	27	26	15
363198	21	17	29	6	20	32	18	20	6	7	10	20	11	3	14	7	12	13
511659	13	15	24	17	18	21	11	22	13	10	25	9	9	9	20	12	8	10
4008562	29	13	17	31	30	124	18	7	27	19	24	32	19	19	31	19	16	29
250348	5	3	5	2	6	7	2	3	2	2	6	2	1	5	1	2	2	3
719367	65	66	76	76	110	89	62	49	59	44	65	57	62	52	75	113	80	79
819400	104	99	89	72	58	82	137	83	85	110	93	120	101	121	137	89	81	127
574020	8	5	11	2	4	1	3	7	4	1	3	5	5	3	3	3	3	12
571867	11	6	9	4	4	6	11	13	9	6	8	11	7	4	6	6	8	16
1032653	9	6	2	0	0	7	13	2	6	3	8	10	4	3	5	1	6	4
1107716	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2324042	4	4	2	3	3	5	5	5	3	6	5	6	3	4	6	1	3	1
1108799	13	5	27	9	6	8	17	9	14	24	26	11	10	13	20	13	8	31
576136	11	10	26	25	2	11	10	6	1	6	5	3	1	3	7	9	1	6
610418	31	30	35	41	29	31	30	27	22	19	85	21	23	33	32	29	27	36
822432	15	3	4	7	2	0	33	22	21	20	17	9	12	15	22	22	9	20
978255	1	5	2	7	7	5	11	4	3	11	6	4	9	12	9	13	10	2
878663	4	7	1	0	1	13	15	2	2	3	1	4	2	2	0	2	4	1
30134	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
114176	15	18	4	9	10	9	10	7	12	4	6	6	15	9	6	8	7	13
756603	23	31	6	440	187	10	36	56	25	62	29	26	108	15	39	40	26	64
434250	2	0	0	1	0	1	0	0	2	0	0	1	1	1	1	0	1	0
102122	4	4	5	4	2	1	7	5	13	13	7	12	8	19	14	14	14	4
925695	29	37	37	43	44	37	28	50	40	21	50	20	34	39	33	31	43	27
1142871	1	7	4	2	0	3	5	11	8	3	3	8	5	3	6	1	3	3
4295043	5	3	3	2	4	7	3	4	2	3	2	3	5	4	5	7	2	4
137233	11	6	13	11	20	13	6	7	13	8	14	4	14	24	12	10	11	10
1111634	1	0	0	1	0	1	6	3	0	3	5	3	6	2	3	0	6	3
563475	2	6	6	6	0	5	5	3	3	1	6	3	3	8	6	5	5	5
112168	5	3	4	4	2	7	15	10	10	13	11	10	6	6	13	5	2	9
688784	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217201	8	12	16	11	2	12	15	5	14	10	9	15	8	9	9	6	7	6
343239	13	13	18	17	49	22	10	27	29	22	37	15	27	20	22	22	31	36
158871	4	5	1	0	0	1	2	4	5	0	0	4	0	0	3	0	4	0
245552	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
590441	15	5	3	0	4	3	5	1	8	7	5	11	7	4	4	13	6	8
1130846	44	84	70	55	38	47	46	73	56	45	66	38	48	45	60	76	41	68
2827695	1	2	1	0	2	0	2	1	1	5	4	3	2	1	1	10	0	3
860073	12	8	28	12	37	41	6	29	6	7	9	1	9	11	6	6	12	7
807703	1	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0
152462	4	8	5	0	3	4	7	0	3	1	4	3	0	3	2	2	4	7
274934	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1
582988	34	12	1	3	38	1	9	2	13	123	8	7	17	9	38	31	7	12
572519	10	7	9	3	2	8	7	12	12	3	7	16	16	3	5	11	2	5
1109964	23	29	29	42	41	41	23	23	16	17	22	21	14	16	19	22	19	19
538315	26	34	40	23	11	22	26	23	27	20	20	22	21	24	21	41	17	32
253573	20	33	14	15	10	21	27	37	29	18	24	34	22	26	31	32	18	22
2801319	3	2	2	0	3	3	2	1	1	3	2	4	3	0	5	1	4	1
4405719	8	9	5	16	8	15	8	5	13	9	6	3	9	9	10	5	8	6
343608	16	4	10	17	101	8	6	23	6	34	29	14	11	1	12	19	13	21
4356724	3	0	2	1	0	1	0	3	0	2	0	0	0	2	1	0	0	1
226373	5	21	12	8	11	9	11	5	5	1	10	8	6	4	7	10	10	12
555635	4	1	0	1	1	4	4	3	4	0	1	3	4	4	2	1	2	4
217506	25	15	33	90	60	70	10	3	29	13	13	13	42	57	20	28	28	32
3334374	8	13	11	13	6	11	10	18	6	7	13	10	11	10	9	5	12	14
576963	3	2	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0
651643	5	1	5	3	9	6	1	1	3	1	0	2	4	5	1	2	5	3
1110760	5	6	9	1	3	2	1	5	3	6	3	4	4	1	3	4	1	3
269901	1	1	0	0	1	0	5	9	0	4	17	1	0	2	1	7	1	2
1074016	35	16	27	39	25	26	8	8	28	12	6	5	40	16	10	13	36	11
834020	3	1	1	2	2	5	3	1	2	0	0	2	1	1	2	0	0	1
585143	4	6	5	8	9	3	5	14	38	3	22	5	13	11	5	9	23	21
792868	134	86	115	196	154	225	30	23	55	40	66	55	68	73	50	84	83	59
810175	4	3	9	9	24	5	2	3	3	1	26	7	3	5	6	10	12	11
4429884	2	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
103478	4	2	2	5	0	6	3	7	1	5	6	3	4	4	4	2	2	3
545121	4	1	0	3	1	2	1	0	3	2	2	3	2	3	1	0	0	1
4467413	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
535678	4	13	16	0	0	5	0	4	3	2	2	0	0	0	0	1	21	0
4344420	4	0	2	2	0	0	3	2	1	5	5	4	2	1	3	2	3	3
86545	2	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0
843254	5	4	7	7	19	6	6	5	7	4	5	3	7	10	8	3	8	8
1637278	4	5	2	0	0	17	7	0	0	2	2	3	0	0	2	3	0	2
928972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2920135	10	13	7	3	7	16	6	2	5	2	4	3	2	10	7	4	9	4
4325163	8	13	23	8	14	13	1	3	2	5	5	1	2	1	7	5	5	7
746944	22	28	23	21	62	21	48	29	20	37	20	11	36	53	38	36	21	47
240506	2	2	1	0	2	4	1	3	2	2	0	5	3	0	1	0	1	0
1108726	58	34	42	65	74	86	53	33	71	99	51	35	54	74	59	46	45	52
651642	1	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0
510999	9	19	26	7	25	22	21	9	8	11	22	9	6	10	7	12	6	15
209507	6	8	15	0	3	11	6	4	4	8	5	3	3	2	4	2	3	4
586306	15	11	6	8	13	10	26	15	7	6	12	17	2	7	18	10	12	14
113214	3	3	1	0	0	0	6	1	2	2	1	1	0	0	2	0	0	2
846710	4	2	0	2	2	1	0	1	1	1	1	0	0	0	0	0	1	3
257270	19	27	75	11	16	15	13	13	11	11	8	12	6	14	9	8	4	6
565240	2	2	0	1	1	0	2	1	2	2	9	6	4	4	5	1	1	6
4035617	28	9	0	8	4	3	1	5	4	16	9	6	10	11	7	5	7	5
320782	5	5	0	2	6	1	9	3	9	4	5	6	5	2	2	6	5	12
582813	7	8	2	0	0	1	3	2	2	4	4	3	1	1	3	0	1	5
807761	1	2	0	0	0	0	0	1	1	2	0	2	3	1	0	1	2	2
587540	1	1	0	0	1	2	3	0	1	1	2	4	2	2	1	2	2	1
766807	3	1	1	1	8	3	3	3	3	1	0	1	0	3	0	2	0	3
612438	83	94	21	146	43	59	50	92	34	71	78	45	117	93	68	86	69	59
571263	24	26	37	40	45	34	19	28	23	29	35	25	29	28	19	47	50	26
776787	24	17	33	24	35	30	9	8	16	20	20	32	22	23	20	23	23	10
3936243	1	3	4	1	4	5	2	4	7	6	9	3	0	1	5	3	2	2
569341	20	10	2	4	5	6	11	11	24	15	16	12	15	5	36	57	21	15
113760	4	8	12	12	8	3	6	13	4	5	10	2	5	1	5	13	5	7
3768995	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
4460363	17	19	18	17	8	20	19	21	11	8	12	22	8	14	26	10	14	13
253744	5	6	4	7	4	6	4	5	3	5	3	4	7	3	6	10	4	5
131892	7	2	3	6	6	5	3	4	1	2	4	8	3	2	1	1	3	3
815724	6	9	2	1	1	3	5	6	2	4	2	1	20	1	2	0	4	2
510204	3	2	3	4	3	11	0	5	10	14	4	16	12	2	6	15	6	6
849118	3	2	1	1	1	0	1	3	0	1	3	1	1	0	2	0	0	0
585830	4	16	8	5	6	5	26	13	22	9	12	11	7	10	15	16	12	9
588969	2	1	8	6	2	3	5	7	2	1	1	2	0	4	8	4	8	5
4348745	1	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	2
304062	25	11	6	21	28	24	38	28	14	27	16	16	44	26	23	14	21	29
590356	26	22	55	18	13	17	41	16	19	24	40	29	29	23	32	17	24	43
2362284	16	17	16	12	7	19	24	14	8	14	22	13	9	19	24	23	18	26
829373	3	17	34	23	1	12	11	13	8	9	13	6	16	14	7	18	6	17
206124	21	16	40	13	7	10	27	19	13	12	25	27	20	8	16	14	8	23
540592	21	34	4	6	10	22	44	20	27	23	23	39	19	13	30	17	22	27
1129719	9	18	3	7	26	7	8	20	20	11	10	8	14	10	11	4	3	12
3498923	10	6	5	1	2	2	6	10	3	17	5	3	1	0	3	5	2	5
561452	8	12	11	6	7	5	10	18	7	16	10	12	12	11	11	8	16	6
572097	13	18	8	19	3	10	15	11	9	13	11	15	11	3	10	11	5	7
4358703	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
87098	2	1	1	0	0	0	0	0	0	0	0	0	1	9	0	0	0	1
938496	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
823382	14	28	47	32	54	31	10	20	25	9	54	13	27	21	24	23	18	24
581639	15	8	3	13	11	7	7	6	5	7	6	5	13	4	3	8	7	6
456617	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
583185	3	1	2	1	1	4	3	2	2	2	2	2	1	2	4	3	0	2
949660	2	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0
142425	18	23	30	13	124	26	72	49	23	39	30	15	65	29	46	45	27	83
311118	9	16	9	7	5	12	14	14	14	17	5	16	12	5	26	10	5	20
569066	2	4	29	20	6	7	6	4	1	4	3	7	2	10	8	5	6	7
1889810	10	44	222	108	59	81	71	265	196	179	129	50	98	105	75	55	178	198
4476590	2	1	2	0	0	1	3	1	0	1	0	1	3	0	1	0	0	0
249068	29	43	29	27	6	21	51	50	27	24	28	37	35	21	38	22	28	33
4445338	4	1	0	1	1	1	1	2	0	0	1	2	5	5	3	2	4	4
4418677	2	2	1	1	1	0	0	0	1	1	1	0	0	2	0	2	1	0
4385959	14	4	14	14	5	12	15	7	16	11	17	11	13	31	25	34	22	19
964020	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
548468	8	1	28	13	22	6	4	23	3	8	18	6	9	5	5	5	21	16
1657331	5	0	0	1	0	0	2	0	2	4	4	0	2	1	1	0	1	3
4348382	73	44	49	145	97	146	32	24	146	101	66	67	143	296	49	88	94	58
4358255	114	145	83	52	90	108	84	101	45	104	64	80	46	30	81	22	61	79
138702	5	2	1	1	0	2	6	3	14	3	4	4	2	0	3	3	2	4
527154	3	1	0	4	3	2	8	0	4	9	1	4	0	1	5	1	3	3
4315843	39	40	136	76	125	72	52	57	25	55	66	28	59	80	36	64	110	74
358785	5	7	1	7	7	4	8	3	5	3	4	9	5	5	2	4	4	3
533994	37	45	44	57	44	54	43	18	27	20	50	40	31	31	46	40	35	35
2199910	2	7	7	2	2	2	0	2	2	0	0	3	0	2	1	4	0	1
4362819	4	5	0	0	1	6	17	10	3	3	4	2	1	1	2	1	6	0
4318219	1	2	8	1	0	2	3	1	1	1	2	0	0	0	4	0	3	3
563670	40	51	60	41	20	41	27	31	56	34	38	21	69	42	42	38	81	75
1083508	4	5	5	6	8	11	9	4	9	6	20	6	8	4	4	5	5	22
4436752	1	0	0	0	0	2	1	1	0	2	1	0	0	0	0	2	0	0
1500418	2	1	3	0	0	5	4	1	0	0	1	2	1	1	2	0	2	1
583756	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4442627	14	20	9	4	1	5	24	5	16	6	10	23	16	2	11	5	6	15
1124560	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
2545365	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1081614	41	83	234	3	13	34	16	9	162	116	12	29	32	22	24	16	19	25
170490	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0
749563	1	0	5	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2
518380	10	19	35	36	34	23	44	19	30	42	41	29	39	86	73	50	57	39
828443	6	4	1	3	3	6	6	18	4	4	2	8	3	3	2	4	5	9
610486	7	0	1	1	5	2	0	3	3	3	1	0	1	2	3	2	0	0
4382404	5	3	0	1	5	2	3	5	4	5	1	7	1	1	3	1	2	1
4308190	1	0	0	0	0	2	0	0	2	1	0	0	0	1	0	0	0	0
81252	3	0	0	0	1	1	0	0	3	0	1	5	0	1	1	2	1	0
545134	46	47	99	88	132	73	45	124	128	82	116	49	95	66	120	69	139	125
816001	3	2	0	2	2	0	3	3	2	0	0	1	3	1	4	3	1	4
164500	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
655278	1	3	5	0	0	2	3	5	4	1	1	4	0	2	1	2	1	3
238031	20	14	10	7	5	5	5	10	89	55	9	13	32	9	19	28	6	9
243954	25	23	33	38	42	46	22	26	15	17	24	19	12	26	27	23	26	20
99330	3	0	1	4	4	2	0	1	3	2	1	2	0	1	1	0	5	1
822874	2	5	3	8	3	7	10	4	3	2	5	8	4	5	2	7	2	1
822776	12	6	8	44	8	25	4	1	16	4	6	21	6	7	10	4	15	6
4424553	5	3	6	4	7	3	24	9	12	13	14	19	6	3	9	35	1	9
547544	5	6	3	4	3	1	0	7	0	3	5	3	8	3	2	2	2	2
936967	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
264229	4	2	0	2	2	0	0	3	4	2	1	2	3	1	0	1	1	1
210800	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4816	18	9	73	18	64	31	11	32	9	19	31	10	32	16	17	30	56	29
4463765	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4296364	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
382468	4	7	2	11	0	1	3	11	7	2	3	6	1	1	2	4	2	8
250298	15	36	5	14	8	8	10	21	11	8	11	16	13	25	33	14	17	10
225453	10	3	2	6	4	1	6	29	65	39	4	2	32	5	6	5	2	9
254205	7	2	1	0	0	5	0	1	2	0	4	2	1	5	0	0	0	2
1108960	62	56	172	167	150	93	42	25	50	34	49	58	38	95	44	85	51	48
4466432	5	0	1	0	9	1	4	7	0	5	3	0	1	2	0	3	5	2
751360	9	4	5	1	2	2	4	3	0	0	2	4	5	5	1	4	4	5
647906	5	3	0	1	1	3	3	4	1	3	2	3	5	4	2	3	2	5
949062	2	2	4	7	1	2	4	0	1	1	0	2	1	3	2	3	2	4
329490	12	21	19	12	39	7	4	5	7	1	14	10	25	9	18	9	6	3
151835	10	2	3	7	11	7	0	0	1	1	0	4	1	0	1	3	3	2
2294362	2	0	1	1	1	0	1	0	1	2	0	1	0	1	0	0	0	0
938901	2	4	2	5	0	3	1	2	3	4	3	6	3	2	3	3	3	3
4433029	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1
4326152	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3352047	1	0	6	0	1	0	3	3	0	2	3	5	1	2	3	2	3	1
704462	4	0	0	1	0	0	0	3	2	4	0	1	0	3	2	1	0	1
2317955	2	0	2	1	0	0	0	1	0	0	1	2	0	0	4	0	2	0
241110	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
611192	9	7	5	8	4	5	14	10	10	6	16	7	10	4	11	3	5	15
1012112	16	13	3	7	9	25	39	13	8	10	23	28	9	11	12	7	10	8
144720	46	19	59	43	67	37	59	55	43	41	65	75	18	23	37	46	59	34
357011	5	4	12	2	1	5	2	4	1	3	1	3	4	0	6	1	0	3
18609	2	4	1	2	0	1	4	3	2	0	2	4	5	2	2	1	1	6
215615	41	105	49	92	18	28	85	57	63	86	71	51	130	134	96	95	109	68
690938	1	1	6	1	1	3	2	1	2	1	0	3	1	2	2	2	0	1
100104	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
154981	3	5	2	4	1	0	0	1	1	1	0	0	0	1	0	2	3	0
315196	8	4	6	7	12	11	7	4	5	4	8	4	6	6	4	3	5	3
704110	8	12	15	6	31	7	6	9	4	4	3	3	6	8	4	3	7	6
4427396	1	0	0	0	0	0	0	0	2	1	1	8	1	1	3	1	0	1
222905	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0
214791	5	15	2	53	14	30	24	10	8	11	11	13	7	7	15	21	3	5
