z	module	p	taxa_roles	Kingdom	Phylum	Class	Order	Family	Genus	Species	degree	betweenness	Abundance
ASV_2	1.21493228707265	M3	0.660493827160494	Connectors	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Aquincola	s__Unassigned	18	69	5.89243051884172
ASV_17	0.815502494062462	M3	0	Peripheral nodes	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Unassigned	s__Unassigned	15	22	1.3022907200075
ASV_45	1.08178902273592	M3	0	Peripheral nodes	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Unassigned	s__Unassigned	17	85	0.572178091267425
ASV_54	0.549215965389005	M3	0.641975308641975	Connectors	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Pseudoduganella	s__Unassigned	13	240	0.550094024586928
ASV_102	-0.915359942315008	M3	0.611111111111111	Peripheral nodes	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Aquincola	s__Unassigned	2	0	0.247609232478301
ASV_131	-0.915359942315008	M3	0	Peripheral nodes	k__Bacteria	p__Unassigned	c__Unassigned	o__Unassigned	f__Unassigned	g__Unassigned	s__Unassigned	2	0	0.199425814266307
ASV_136	-1.04850320665174	M3	0	Peripheral nodes	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Unassigned	f__Unassigned	g__Unassigned	s__Unassigned	1	0	0.156596109188979
ASV_188	-0.78221667797828	M3	0.657777777777778	Connectors	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Duganella	s__Unassigned	3	0	0.149903967770647
ASV_5	-1.02092410453754	M2	0	Peripheral nodes	k__Bacteria	p__Unassigned	c__Unassigned	o__Unassigned	f__Unassigned	g__Unassigned	s__Unassigned	2	0	3.07236212515643
ASV_6	1.44048195571736	M2	0	Peripheral nodes	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Unassigned	s__Unassigned	18	5	2.516245173293
ASV_22	0.825130440653632	M2	0.642857142857143	Connectors	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Unassigned	14	72	0.846555889419055
