,logFC,level,p,Genus,ord
Enterobacteriaceae,-5.43944085879026,depleted,0.00803172151698531,Enterobacteriaceae,29.5875168562769
Flammeovirgaceae,-2.7718445406394,depleted,0.000407952093742153,Flammeovirgaceae,7.68312215747244
Oligoflexaceae,-2.62645459169129,depleted,0.0127134704278415,Oligoflexaceae,6.89826372221628
Alcaligenaceae,-2.35203195386589,depleted,0.00399979176098147,Alcaligenaceae,5.53205431200621
Chitinophagaceae,-2.01597537514628,depleted,4.93105302885121e-11,Chitinophagaceae,4.06415671319617
Planctomycetaceae,-1.95610109646537,depleted,2.80889002041057e-06,Planctomycetaceae,3.82633149959303
Opitutaceae,-1.87524545060726,depleted,3.92741029366247e-07,Opitutaceae,3.51654550002321
Haliangiaceae,-1.7461742336242,depleted,6.40750336865299e-07,Haliangiaceae,3.04912445417305
Cyclobacteriaceae,-1.65801661420963,depleted,0.00674163377610543,Cyclobacteriaceae,2.74901909299516
Verrucomicrobiaceae,-1.54460644438872,depleted,0.00189200781823015,Verrucomicrobiaceae,2.38580906804718
Cryomorphaceae,-1.33399136087242,depleted,0.000192517563020369,Cryomorphaceae,1.77953295088225
Cellulomonadaceae,-1.32165245877645,depleted,0.00652851256741153,Cellulomonadaceae,1.74676522178983
Bacillaceae_1,-1.21588108893568,depleted,9.34842014555724e-06,Bacillaceae_1,1.47836682243142
Sphingomonadaceae,1.10389971076539,enriched,1.90737986748329e-06,Sphingomonadaceae,1.21859457142792
Oxalobacteraceae,1.03473789377242,enriched,6.4050172864953e-05,Oxalobacteraceae,1.07068250880858
Erythrobacteraceae,1.02278911929515,enriched,8.14346297546376e-05,Erythrobacteraceae,1.04609758254855
Comamonadaceae,0.975948772889009,enriched,1.87050830692891e-05,Comamonadaceae,0.952476007303563
Rhizobiaceae,0.932922208085141,enriched,0.000861097095958061,Rhizobiaceae,0.870343846338455
Hyphomicrobiaceae,0.902336287129139,enriched,2.39042711255247e-06,Hyphomicrobiaceae,0.81421077507
Caulobacteraceae,0.872540582606304,enriched,4.34840425680037e-07,Caulobacteraceae,0.761327068294949
Sandaracinaceae,0.854020742735496,enriched,0.00024939195455254,Sandaracinaceae,0.729351429022489
Cystobacteraceae,-0.779984200287028,depleted,0.0130575277676007,Cystobacteraceae,0.608375352697394
Phyllobacteriaceae,0.740714747563945,enriched,0.000112715683933534,Phyllobacteriaceae,0.548658337258719
Micrococcaceae,-0.715989441910116,depleted,0.0105534350396666,Micrococcaceae,0.512640880926759
Pseudonocardiaceae,0.713687861453825,enriched,3.05298058077438e-05,Pseudonocardiaceae,0.509350363586534
Bradyrhizobiaceae,0.501859569103985,enriched,0.000268033421988539,Bradyrhizobiaceae,0.251863027101237
Nocardioidaceae,0.479272120535363,enriched,0.00296060635230386,Nocardioidaceae,0.229701765522464
Unassigned,0.24037712056105,enriched,0.00572767637742444,Unassigned,0.0577811600892216
