ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	1101.0	675.0	925.0	964.0	1476.0	897.0	821.0	690.0	908.0	1043.0	958.0	683.0	1089.0	1611.0	1047.0	1118.0	1180.0	971.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
ABC transporters	677913.0	683770.0	770422.0	754312.0	871651.0	751452.0	661706.0	612971.0	623917.0	649497.0	717080.0	642904.0	703591.0	775904.0	689451.0	718872.0	780441.0	700414.0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	35.0	36.0	19.0	24.0	25.0	32.0	61.0	35.0	35.0	36.0	47.0	52.0	42.0	29.0	49.0	31.0	35.0	41.0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	20693.0	22533.0	24105.0	23059.0	24697.0	22572.0	20194.0	19612.0	20090.0	20115.0	22265.0	19582.0	22530.0	23549.0	21968.0	22631.0	24075.0	22221.0	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	3657.0	3336.0	4204.0	4003.0	4959.0	4048.0	3208.0	3145.0	3276.0	3455.0	3603.0	3001.0	3570.0	4261.0	3536.0	3533.0	3784.0	3621.0	Human Diseases; Infectious Diseases; African trypanosomiasis
Alanine, aspartate and glutamate metabolism	148440.0	150558.0	170990.0	162085.0	184330.0	162308.0	150126.0	140069.0	144255.0	146627.0	161298.0	145209.0	158571.0	174000.0	158587.0	161115.0	172198.0	159014.0	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
Aldosterone-regulated sodium reabsorption	29.0	78.0	49.0	36.0	38.0	44.0	19.0	26.0	14.0	31.0	32.0	18.0	40.0	49.0	23.0	59.0	157.0	29.0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	20105.0	17052.0	22620.0	21339.0	27416.0	21818.0	17824.0	15938.0	17479.0	18466.0	19845.0	17094.0	18868.0	23299.0	19273.0	20087.0	21049.0	19817.0	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	44516.0	43539.0	50667.0	48130.0	56488.0	47393.0	44040.0	40523.0	42807.0	43840.0	47889.0	42782.0	48194.0	53904.0	47089.0	47927.0	51546.0	46325.0	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	198926.0	193429.0	223421.0	212798.0	248667.0	214275.0	199457.0	182655.0	192571.0	196268.0	212899.0	192317.0	210087.0	236526.0	210681.0	214053.0	227163.0	210616.0	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
