,X1,X2,elements,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,group,degree
1,30.7559662954721,5.29255216321853,ASV_107,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned,0.00126301612875897,model_3,5
2,24.8000130108969,5.4375552339525,ASV_148,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned,Unassigned,Unassigned,0.000951448750950338,model_1,5
3,30.8080909446305,7.53985321817134,ASV_150,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned,0.00119496569181095,model_3,5
4,24.5221842870142,8.0438733999981,ASV_20,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,Unassigned,0.0109614402367639,model_1,5
5,31.3801498359296,3.28161215028052,ASV_249,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,Peredibacter_starrii,0.000669027927112472,model_3,5
6,25.9196755581863,9.982650444218,ASV_27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium_neotropicale,0.00495992588739896,model_1,5
7,18.8053772146409,1.13743664188262,ASV_289,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Unassigned,0.000629086094891288,model_2,5
8,31.9440866661764,6.49802253403964,ASV_290,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned,Unassigned,Unassigned,0.000458732020067868,model_3,5
9,23.1834331620486,10.2972773829071,ASV_321,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides_dilutus,0.000492287132243122,model_1,5
10,16.6883749651761,3.63861891025524,ASV_343,Bacteria,Proteobacteria,Deltaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,0.000493346281159428,model_2,5
11,27.1726805551214,7.4147052070214,ASV_348,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unassigned,Unassigned,Unassigned,0.00051549140543141,model_1,5
12,33.6378691177844,4.87146837095429,ASV_4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Rhizobacter,Unassigned,0.0254646446135443,model_3,5
13,22.1511559020834,7.74376673902888,ASV_406,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,0.000317444631672681,model_1,5
14,19.2576917261716,3.3829239731402,ASV_44,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,Kinneretia_asaccharophila,0.00338056148395968,model_2,5
15,33.2088776621691,8.12009535992556,ASV_468,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Unassigned,0.000322383156458945,model_3,5
16,20.5800575113608,4.78358107438574,ASV_484,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned,0.000609006792760179,model_2,5
17,16.347054666059,0.898465863577186,ASV_53,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Unassigned,0.00325750148714831,model_2,5
18,21.0024800788977,2.56671011244219,ASV_728,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,Dongia_mobilis,0.000274250189887976,model_2,5
