,KO,OE,WT,mean,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,0.201595517147524,0.226345003607565,0.310460659826172,0.24613372686042,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Unassigned,Unassigned
ASV_1591,0.00143272740947919,0.00303789086722862,0.00628812713427084,0.00358624847032622,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Unassigned,Unassigned
ASV_657,0.00110218906629878,0.00233206614061834,0.00123484148424588,0.001556365563721,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Unassigned,Unassigned
ASV_28,0.0372202872993349,0.0377096764806655,0.0557825143914193,0.0435708260571399,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinocorallia,Unassigned
ASV_1717,0.000390827140528309,0.000392617229905843,0.000376461254325608,0.000386635208253253,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,Unassigned
ASV_2407,0.000480292099013207,0.00055117582553358,0.000295022250545541,0.000442163391697443,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,Unassigned
ASV_1480,0.000277952114740567,0.00114377432011943,0.00107185673977058,0.000831194391543526,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_seranimatus
ASV_125,0.00835725557412323,0.00878088507409425,0.00729466156459607,0.00814426740427118,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_1960,0.00016604400166044,6.02627455706882e-05,0.000433238529723518,0.000219848425651549,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unassigned,Unassigned,Unassigned
ASV_135,0.00641605304306456,0.00831987447490436,0.00747745770437177,0.00740446174078023,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_1418,0.000819624429040755,0.000361973733419639,0.000213161622362404,0.000464919928274266,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_434,0.000902870556546304,0.00184794597947926,0.00294703463289465,0.00189928372297341,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Unassigned
ASV_1109,0.00047467308441879,0.00147423195443551,0.000134674458170324,0.000694526499008208,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_688,0.000483937463554842,0.000843787460237359,0.00152899995006828,0.000952241624620159,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_muscovyensis
ASV_1604,5.534800055348e-05,0.000365576691116695,0.000535000764898057,0.000318641818856077,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_maritima
ASV_2410,9.02744342802118e-05,0.000400079271789568,5.3623294101004e-05,0.000181325666723595,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_kuesteri
ASV_2539,0.00030441400304414,0.000185621031909448,0.000240503207381217,0.000243512747444935,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_salmonea
ASV_1493,0.000778685930974355,0.000214632714651315,0.000344766774403821,0.000446028473343163,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_jabiensis
ASV_1087,0.000567109180162086,0.000693360323721339,0.000597879836509398,0.000619449780130941,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_2789,0.000138965066958895,0.000449430616280934,0.000187819879432682,0.000258738520890837,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Unassigned
ASV_8,0.0696991829544742,0.12700948811279,0.1064825202487,0.101063730438655,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_174,0.00096679744968166,0.004495611739983,0.0111556853196342,0.00553936483643294,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_208,0.00245190528979699,0.00404033761863935,0.00600306248448448,0.00416510179764028,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_716,0.00013878741987356,0.00115398467377953,0.00135176243244978,0.000881511508700955,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1181,0.000352327582288644,0.000450163959324113,0.000941717246176546,0.000581402929263101,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1312,0.000269095059630854,0.000270396142364952,0.000989444265193721,0.000509645155729842,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1464,0.000220377347762041,0.000573775425053175,0.00064521129367894,0.000479788022164719,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1703,0.000213805887724956,0.000424571277300528,0.000811758065354264,0.000483378410126583,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1667,0.000531822764416198,0.000475273734406433,0.000157825237467248,0.00038830724542996,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1225,8.18070593359074e-05,0.000961025410329278,0.000597932907274082,0.000546921792313089,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_lincolnensis
ASV_106,0.00466993673216564,0.0162447118955352,0.0082533281643008,0.00972265893066721,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1287,0.000267116321992505,0.000618300256477653,0.000806995189952506,0.000564137256140888,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_albiflavescens
ASV_2611,9.02744342802118e-05,0.000499198735280832,0.000296994358437752,0.000295489175999599,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_2618,0.000168270768085486,0.000816160338706405,0.000267088451434475,0.000417173186075455,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_fimbriatus
ASV_266,0.00319463725979811,0.0045011215469623,0.00346603938597196,0.00372059939757746,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1351,0.000584476008789363,0.000362859087134991,0.000590619616676955,0.000512651570867103,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1113,0.000307236494178703,0.00205871011385468,0.000292842965091733,0.000886263191041707,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_340,0.00190819879511238,0.00361963631984657,0.00258146033640049,0.00270309848378648,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_bangladeshensis
ASV_1268,0.000115530956740288,0.00113092757897163,0.000509421278429431,0.000585293271380448,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_bullii
ASV_1296,0.000201956499396418,0.000691124072053598,0.000533990533654945,0.00047569036836832,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_16,0.0437405651446114,0.0503911059007416,0.0653286216487585,0.0531534308980372,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_ederensis
ASV_443,0.000192703347485301,0.00187624089457999,0.00317920521175184,0.00174938315127238,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_479,0.001327029971278,0.00186530663596813,0.00201712287540086,0.00173648649421566,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_159,0.00381522615051826,0.0067338636071069,0.00788324541639887,0.00614411172467468,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_canus
ASV_484,0.000288598514365654,0.000821538299909378,0.00365404075656107,0.0015880591902787,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_666,0.000402774389485421,0.00153644944151224,0.00158587065140566,0.00117503149413444,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_414,0.00155668842718851,0.00333539631774404,0.00177766536016655,0.00222325003503303,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1757,0.000280967487653572,0.000449709184922278,0.000135086914067608,0.000288587862214486,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_314,0.00212209069294623,0.00401558970995093,0.00279794909180576,0.00297854316490097,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_397,0.00134596038078301,0.00302295809501799,0.00164000779009606,0.00200297542196569,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1574,0.000490213408646403,0.00143752927792344,0.000909978594272216,0.000945907093614021,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_chrysomallus_subsp._chrysomallus
